Record: Angola (AGO), indicator=Maternal_Mortality_Ratio
Angola observed maternal_mortality_year2000=659 per 100,000 live births.
Angola observed maternal_mortality_year2001=629 per 100,000 live births.
Angola observed maternal_mortality_year2002=602 per 100,000 live births.
Angola observed maternal_mortality_year2003=538 per 100,000 live births.
Angola observed maternal_mortality_year2004=499 per 100,000 live births.
Angola observed maternal_mortality_year2005=462 per 100,000 live births.
Angola observed maternal_mortality_year2006=437 per 100,000 live births.
Angola observed maternal_mortality_year2007=401 per 100,000 live births.
Angola observed maternal_mortality_year2008=372 per 100,000 live births.
Angola observed maternal_mortality_year2009=348 per 100,000 live births.
Angola observed maternal_mortality_year2010=321 per 100,000 live births.
Angola observed maternal_mortality_year2011=301 per 100,000 live births.
Angola observed maternal_mortality_year2012=278 per 100,000 live births.
Angola observed maternal_mortality_year2013=267 per 100,000 live births.
Angola observed maternal_mortality_year2014=262 per 100,000 live births.
Angola observed maternal_mortality_year2015=249 per 100,000 live births.
Angola observed maternal_mortality_year2016=236 per 100,000 live births.
Angola observed maternal_mortality_year2017=220 per 100,000 live births.
Angola observed maternal_mortality_year2018=208 per 100,000 live births.
Angola observed maternal_mortality_year2019=202 per 100,000 live births.
Angola observed maternal_mortality_year2020=195 per 100,000 live births.
Angola observed maternal_mortality_year2021=211 per 100,000 live births.
