Record: Cuba (CUB), indicator=Maternal_Mortality_Ratio
Cuba observed maternal_mortality_year2000=48 per 100,000 live births.
Cuba observed maternal_mortality_year2001=46 per 100,000 live births.
Cuba observed maternal_mortality_year2002=45 per 100,000 live births.
Cuba observed maternal_mortality_year2003=44 per 100,000 live births.
Cuba observed maternal_mortality_year2004=44 per 100,000 live births.
Cuba observed maternal_mortality_year2005=43 per 100,000 live births.
Cuba observed maternal_mortality_year2006=42 per 100,000 live births.
Cuba observed maternal_mortality_year2007=42 per 100,000 live births.
Cuba observed maternal_mortality_year2008=44 per 100,000 live births.
Cuba observed maternal_mortality_year2009=45 per 100,000 live births.
Cuba observed maternal_mortality_year2010=44 per 100,000 live births.
Cuba observed maternal_mortality_year2011=44 per 100,000 live births.
Cuba observed maternal_mortality_year2012=42 per 100,000 live births.
Cuba observed maternal_mortality_year2013=42 per 100,000 live births.
Cuba observed maternal_mortality_year2014=42 per 100,000 live births.
Cuba observed maternal_mortality_year2015=41 per 100,000 live births.
Cuba observed maternal_mortality_year2016=40 per 100,000 live births.
Cuba observed maternal_mortality_year2017=39 per 100,000 live births.
Cuba observed maternal_mortality_year2018=39 per 100,000 live births.
Cuba observed maternal_mortality_year2019=40 per 100,000 live births.
Cuba observed maternal_mortality_year2020=40 per 100,000 live births.
Cuba observed maternal_mortality_year2021=172 per 100,000 live births.
