Record: Nauru (NRU), indicator=Maternal_Mortality_Ratio
Nauru observed maternal_mortality_year2000=278 per 100,000 live births.
Nauru observed maternal_mortality_year2001=299 per 100,000 live births.
Nauru observed maternal_mortality_year2002=321 per 100,000 live births.
Nauru observed maternal_mortality_year2003=323 per 100,000 live births.
Nauru observed maternal_mortality_year2004=324 per 100,000 live births.
Nauru observed maternal_mortality_year2005=328 per 100,000 live births.
Nauru observed maternal_mortality_year2006=304 per 100,000 live births.
Nauru observed maternal_mortality_year2007=303 per 100,000 live births.
Nauru observed maternal_mortality_year2008=302 per 100,000 live births.
Nauru observed maternal_mortality_year2009=300 per 100,000 live births.
Nauru observed maternal_mortality_year2010=297 per 100,000 live births.
Nauru observed maternal_mortality_year2011=260 per 100,000 live births.
Nauru observed maternal_mortality_year2012=255 per 100,000 live births.
Nauru observed maternal_mortality_year2013=247 per 100,000 live births.
Nauru observed maternal_mortality_year2014=240 per 100,000 live births.
Nauru observed maternal_mortality_year2015=253 per 100,000 live births.
Nauru observed maternal_mortality_year2016=248 per 100,000 live births.
Nauru observed maternal_mortality_year2017=259 per 100,000 live births.
Nauru observed maternal_mortality_year2018=269 per 100,000 live births.
Nauru observed maternal_mortality_year2019=267 per 100,000 live births.
Nauru observed maternal_mortality_year2020=309 per 100,000 live births.
Nauru observed maternal_mortality_year2021=266 per 100,000 live births.
