Record: Myanmar (MMR), indicator=Maternal_Mortality_Ratio
Myanmar observed maternal_mortality_year2000=375 per 100,000 live births.
Myanmar observed maternal_mortality_year2001=361 per 100,000 live births.
Myanmar observed maternal_mortality_year2002=347 per 100,000 live births.
Myanmar observed maternal_mortality_year2003=335 per 100,000 live births.
Myanmar observed maternal_mortality_year2004=324 per 100,000 live births.
Myanmar observed maternal_mortality_year2005=312 per 100,000 live births.
Myanmar observed maternal_mortality_year2006=301 per 100,000 live births.
Myanmar observed maternal_mortality_year2007=290 per 100,000 live births.
Myanmar observed maternal_mortality_year2008=286 per 100,000 live births.
Myanmar observed maternal_mortality_year2009=268 per 100,000 live births.
Myanmar observed maternal_mortality_year2010=259 per 100,000 live births.
Myanmar observed maternal_mortality_year2011=249 per 100,000 live births.
Myanmar observed maternal_mortality_year2012=243 per 100,000 live births.
Myanmar observed maternal_mortality_year2013=237 per 100,000 live births.
Myanmar observed maternal_mortality_year2014=228 per 100,000 live births.
Myanmar observed maternal_mortality_year2015=222 per 100,000 live births.
Myanmar observed maternal_mortality_year2016=215 per 100,000 live births.
Myanmar observed maternal_mortality_year2017=209 per 100,000 live births.
Myanmar observed maternal_mortality_year2018=201 per 100,000 live births.
Myanmar observed maternal_mortality_year2019=195 per 100,000 live births.
Myanmar observed maternal_mortality_year2020=198 per 100,000 live births.
Myanmar observed maternal_mortality_year2021=231 per 100,000 live births.
