Record: Malawi (MWI), indicator=Maternal_Mortality_Ratio
Malawi observed maternal_mortality_year2000=506 per 100,000 live births.
Malawi observed maternal_mortality_year2001=447 per 100,000 live births.
Malawi observed maternal_mortality_year2002=404 per 100,000 live births.
Malawi observed maternal_mortality_year2003=346 per 100,000 live births.
Malawi observed maternal_mortality_year2004=304 per 100,000 live births.
Malawi observed maternal_mortality_year2005=283 per 100,000 live births.
Malawi observed maternal_mortality_year2006=286 per 100,000 live births.
Malawi observed maternal_mortality_year2007=333 per 100,000 live births.
Malawi observed maternal_mortality_year2008=430 per 100,000 live births.
Malawi observed maternal_mortality_year2009=512 per 100,000 live births.
Malawi observed maternal_mortality_year2010=517 per 100,000 live births.
Malawi observed maternal_mortality_year2011=486 per 100,000 live births.
Malawi observed maternal_mortality_year2012=447 per 100,000 live births.
Malawi observed maternal_mortality_year2013=410 per 100,000 live births.
Malawi observed maternal_mortality_year2014=367 per 100,000 live births.
Malawi observed maternal_mortality_year2015=354 per 100,000 live births.
Malawi observed maternal_mortality_year2016=312 per 100,000 live births.
Malawi observed maternal_mortality_year2017=284 per 100,000 live births.
Malawi observed maternal_mortality_year2018=267 per 100,000 live births.
Malawi observed maternal_mortality_year2019=260 per 100,000 live births.
Malawi observed maternal_mortality_year2020=256 per 100,000 live births.
Malawi observed maternal_mortality_year2021=286 per 100,000 live births.
