Record: World (WLD), indicator=Maternal_Mortality_Ratio
World observed maternal_mortality_year2000=328 per 100,000 live births.
World observed maternal_mortality_year2001=321 per 100,000 live births.
World observed maternal_mortality_year2002=311 per 100,000 live births.
World observed maternal_mortality_year2003=301 per 100,000 live births.
World observed maternal_mortality_year2004=291 per 100,000 live births.
World observed maternal_mortality_year2005=283 per 100,000 live births.
World observed maternal_mortality_year2006=276 per 100,000 live births.
World observed maternal_mortality_year2007=269 per 100,000 live births.
World observed maternal_mortality_year2008=264 per 100,000 live births.
World observed maternal_mortality_year2009=258 per 100,000 live births.
World observed maternal_mortality_year2010=253 per 100,000 live births.
World observed maternal_mortality_year2011=247 per 100,000 live births.
World observed maternal_mortality_year2012=239 per 100,000 live births.
World observed maternal_mortality_year2013=235 per 100,000 live births.
World observed maternal_mortality_year2014=231 per 100,000 live births.
World observed maternal_mortality_year2015=228 per 100,000 live births.
World observed maternal_mortality_year2016=220 per 100,000 live births.
World observed maternal_mortality_year2017=215 per 100,000 live births.
World observed maternal_mortality_year2018=211 per 100,000 live births.
World observed maternal_mortality_year2019=207 per 100,000 live births.
World observed maternal_mortality_year2020=211 per 100,000 live births.
World observed maternal_mortality_year2021=242 per 100,000 live births.
