Record: Belize (BLZ), indicator=Maternal_Mortality_Ratio
Belize observed maternal_mortality_year2000=78 per 100,000 live births.
Belize observed maternal_mortality_year2001=76 per 100,000 live births.
Belize observed maternal_mortality_year2002=68 per 100,000 live births.
Belize observed maternal_mortality_year2003=67 per 100,000 live births.
Belize observed maternal_mortality_year2004=63 per 100,000 live births.
Belize observed maternal_mortality_year2005=60 per 100,000 live births.
Belize observed maternal_mortality_year2006=55 per 100,000 live births.
Belize observed maternal_mortality_year2007=52 per 100,000 live births.
Belize observed maternal_mortality_year2008=48 per 100,000 live births.
Belize observed maternal_mortality_year2009=45 per 100,000 live births.
Belize observed maternal_mortality_year2010=41 per 100,000 live births.
Belize observed maternal_mortality_year2011=39 per 100,000 live births.
Belize observed maternal_mortality_year2012=40 per 100,000 live births.
Belize observed maternal_mortality_year2013=41 per 100,000 live births.
Belize observed maternal_mortality_year2014=44 per 100,000 live births.
Belize observed maternal_mortality_year2015=47 per 100,000 live births.
Belize observed maternal_mortality_year2016=51 per 100,000 live births.
Belize observed maternal_mortality_year2017=56 per 100,000 live births.
Belize observed maternal_mortality_year2018=60 per 100,000 live births.
Belize observed maternal_mortality_year2019=61 per 100,000 live births.
Belize observed maternal_mortality_year2020=88 per 100,000 live births.
Belize observed maternal_mortality_year2021=157 per 100,000 live births.
