Entity: BWA / SH.DYN.MORT
Year: 1960 | Value: 167.7
Year: 1961 | Value: 162.6
Year: 1962 | Value: 157.9
Year: 1963 | Value: 153.4
Year: 1964 | Value: 148.9
Year: 1965 | Value: 144.6
Year: 1966 | Value: 140.4
Year: 1967 | Value: 136.3
Year: 1968 | Value: 132.3
Year: 1969 | Value: 128.1
Year: 1970 | Value: 123.7
Year: 1971 | Value: 118.9
Year: 1972 | Value: 114
Year: 1973 | Value: 109.1
Year: 1974 | Value: 104.1
Year: 1975 | Value: 98.8
Year: 1976 | Value: 93.2
Year: 1977 | Value: 87.7
Year: 1978 | Value: 82.3
Year: 1979 | Value: 77.4
Year: 1980 | Value: 72.9
Year: 1981 | Value: 68.6
Year: 1982 | Value: 64.7
Year: 1983 | Value: 61.2
Year: 1984 | Value: 58
Year: 1985 | Value: 55
Year: 1986 | Value: 52.2
Year: 1987 | Value: 50
Year: 1988 | Value: 48.8
Year: 1989 | Value: 48.7
Year: 1990 | Value: 50.1
Year: 1991 | Value: 52.9
Year: 1992 | Value: 57
Year: 1993 | Value: 62
Year: 1994 | Value: 67.2
Year: 1995 | Value: 67.4
Year: 1996 | Value: 71
Year: 1997 | Value: 73.7
Year: 1998 | Value: 75.7
Year: 1999 | Value: 79.1
Year: 2000 | Value: 81.1
Year: 2001 | Value: 81.2
Year: 2002 | Value: 80
Year: 2003 | Value: 78.5
Year: 2004 | Value: 76.3
Year: 2005 | Value: 70.3
Year: 2006 | Value: 64.3
Year: 2007 | Value: 61.6
Year: 2008 | Value: 60.3
Year: 2009 | Value: 57.8
Year: 2010 | Value: 55.8
Year: 2011 | Value: 56.8
Year: 2012 | Value: 53.4
Year: 2013 | Value: 51
Year: 2014 | Value: 51.1
Year: 2015 | Value: 49.8
Year: 2016 | Value: 49
Year: 2017 | Value: 46.5
Year: 2018 | Value: 45.9
Year: 2019 | Value: 45
Year: 2020 | Value: 43.9
Year: 2021 | Value: 42
Year: 2022 | Value: 40.7
Year: 2023 | Value: 39.6
Remark: Botswana
Remark: Mortality rate, under-5 (per 1,000 live births)
