Entity: PNG / SH.DYN.MORT
Year: 1960 | Value: 198.3
Year: 1961 | Value: 192.1
Year: 1962 | Value: 186.2
Year: 1963 | Value: 180.3
Year: 1964 | Value: 174.4
Year: 1965 | Value: 168.7
Year: 1966 | Value: 163
Year: 1967 | Value: 157.6
Year: 1968 | Value: 152.3
Year: 1969 | Value: 147.1
Year: 1970 | Value: 142.2
Year: 1971 | Value: 137.4
Year: 1972 | Value: 132.9
Year: 1973 | Value: 128.5
Year: 1974 | Value: 124.3
Year: 1975 | Value: 120.5
Year: 1976 | Value: 116.8
Year: 1977 | Value: 113.4
Year: 1978 | Value: 110.2
Year: 1979 | Value: 107.2
Year: 1980 | Value: 104.4
Year: 1981 | Value: 101.8
Year: 1982 | Value: 99.4
Year: 1983 | Value: 97.1
Year: 1984 | Value: 95
Year: 1985 | Value: 93
Year: 1986 | Value: 91.2
Year: 1987 | Value: 89.6
Year: 1988 | Value: 87.8
Year: 1989 | Value: 86.3
Year: 1990 | Value: 84.7
Year: 1991 | Value: 83.1
Year: 1992 | Value: 81.7
Year: 1993 | Value: 80.3
Year: 1994 | Value: 78.9
Year: 1995 | Value: 77.7
Year: 1996 | Value: 76.4
Year: 1997 | Value: 75.2
Year: 1998 | Value: 74.1
Year: 1999 | Value: 73
Year: 2000 | Value: 71.9
Year: 2001 | Value: 70.8
Year: 2002 | Value: 69.6
Year: 2003 | Value: 68.4
Year: 2004 | Value: 67.1
Year: 2005 | Value: 65.8
Year: 2006 | Value: 64.4
Year: 2007 | Value: 63.1
Year: 2008 | Value: 61.6
Year: 2009 | Value: 60.2
Year: 2010 | Value: 58.8
Year: 2011 | Value: 57.3
Year: 2012 | Value: 55.9
Year: 2013 | Value: 54.4
Year: 2014 | Value: 53
Year: 2015 | Value: 51.7
Year: 2016 | Value: 50.2
Year: 2017 | Value: 48.7
Year: 2018 | Value: 47.2
Year: 2019 | Value: 45.9
Year: 2020 | Value: 44.5
Year: 2021 | Value: 43.1
Year: 2022 | Value: 41.7
Year: 2023 | Value: 40.3
Remark: Papua New Guinea
Remark: Mortality rate, under-5 (per 1,000 live births)
