Entity: DJI / SH.DYN.MORT
Year: 1976 | Value: 171
Year: 1977 | Value: 166.3
Year: 1978 | Value: 161.7
Year: 1979 | Value: 157
Year: 1980 | Value: 152.6
Year: 1981 | Value: 148.4
Year: 1982 | Value: 143.8
Year: 1983 | Value: 139.7
Year: 1984 | Value: 135.6
Year: 1985 | Value: 131.8
Year: 1986 | Value: 128.1
Year: 1987 | Value: 124.7
Year: 1988 | Value: 121.6
Year: 1989 | Value: 118.8
Year: 1990 | Value: 116.3
Year: 1991 | Value: 114
Year: 1992 | Value: 112.2
Year: 1993 | Value: 110.6
Year: 1994 | Value: 109.3
Year: 1995 | Value: 107.9
Year: 1996 | Value: 106.6
Year: 1997 | Value: 105.1
Year: 1998 | Value: 103.4
Year: 1999 | Value: 101.5
Year: 2000 | Value: 99.5
Year: 2001 | Value: 97.2
Year: 2002 | Value: 94.8
Year: 2003 | Value: 92.4
Year: 2004 | Value: 90
Year: 2005 | Value: 87.7
Year: 2006 | Value: 85.3
Year: 2007 | Value: 82.8
Year: 2008 | Value: 80.3
Year: 2009 | Value: 78.1
Year: 2010 | Value: 75.9
Year: 2011 | Value: 73.6
Year: 2012 | Value: 71.4
Year: 2013 | Value: 69.3
Year: 2014 | Value: 67.2
Year: 2015 | Value: 65.1
Year: 2016 | Value: 63.3
Year: 2017 | Value: 61.3
Year: 2018 | Value: 59.4
Year: 2019 | Value: 57.5
Year: 2020 | Value: 55.6
Year: 2021 | Value: 53.8
Year: 2022 | Value: 52.2
Year: 2023 | Value: 50.4
Remark: Djibouti
Remark: Mortality rate, under-5 (per 1,000 live births)
