Entity: MWI / SH.DYN.MORT
Year: 1961 | Value: 358.9
Year: 1962 | Value: 358
Year: 1963 | Value: 356.6
Year: 1964 | Value: 355.2
Year: 1965 | Value: 353.8
Year: 1966 | Value: 352.6
Year: 1967 | Value: 351.4
Year: 1968 | Value: 349.9
Year: 1969 | Value: 347.4
Year: 1970 | Value: 343.6
Year: 1971 | Value: 338.6
Year: 1972 | Value: 331.8
Year: 1973 | Value: 323.9
Year: 1974 | Value: 315.1
Year: 1975 | Value: 305.8
Year: 1976 | Value: 296.5
Year: 1977 | Value: 286.8
Year: 1978 | Value: 276
Year: 1979 | Value: 265.4
Year: 1980 | Value: 256.3
Year: 1981 | Value: 249
Year: 1982 | Value: 245
Year: 1983 | Value: 244.9
Year: 1984 | Value: 247.7
Year: 1985 | Value: 251.4
Year: 1986 | Value: 254.2
Year: 1987 | Value: 255
Year: 1988 | Value: 253.2
Year: 1989 | Value: 248.9
Year: 1990 | Value: 242.8
Year: 1991 | Value: 235.5
Year: 1992 | Value: 227.7
Year: 1993 | Value: 220.2
Year: 1994 | Value: 213.4
Year: 1995 | Value: 206.6
Year: 1996 | Value: 201.9
Year: 1997 | Value: 197.3
Year: 1998 | Value: 191.7
Year: 1999 | Value: 183.9
Year: 2000 | Value: 173.3
Year: 2001 | Value: 159.9
Year: 2002 | Value: 145.5
Year: 2003 | Value: 131.5
Year: 2004 | Value: 119.3
Year: 2005 | Value: 109.9
Year: 2006 | Value: 103.4
Year: 2007 | Value: 98.3
Year: 2008 | Value: 93.1
Year: 2009 | Value: 88.1
Year: 2010 | Value: 83
Year: 2011 | Value: 76.7
Year: 2012 | Value: 69.8
Year: 2013 | Value: 64
Year: 2014 | Value: 60.2
Year: 2015 | Value: 56.7
Year: 2016 | Value: 53.5
Year: 2017 | Value: 50.6
Year: 2018 | Value: 47.5
Year: 2019 | Value: 45.5
Year: 2020 | Value: 43.1
Year: 2021 | Value: 41.5
Year: 2022 | Value: 39.9
Year: 2023 | Value: 38.3
Remark: Malawi
Remark: Mortality rate, under-5 (per 1,000 live births)
