Entity: TTO / SH.DYN.MORT
Year: 1960 | Value: 67.4
Year: 1961 | Value: 65.3
Year: 1962 | Value: 63.3
Year: 1963 | Value: 61.4
Year: 1964 | Value: 59.6
Year: 1965 | Value: 58
Year: 1966 | Value: 56.6
Year: 1967 | Value: 55.3
Year: 1968 | Value: 54
Year: 1969 | Value: 52.8
Year: 1970 | Value: 51.7
Year: 1971 | Value: 50.6
Year: 1972 | Value: 49.5
Year: 1973 | Value: 48.4
Year: 1974 | Value: 47.2
Year: 1975 | Value: 46
Year: 1976 | Value: 44.8
Year: 1977 | Value: 43.7
Year: 1978 | Value: 42.5
Year: 1979 | Value: 41.4
Year: 1980 | Value: 40.3
Year: 1981 | Value: 39.2
Year: 1982 | Value: 38.3
Year: 1983 | Value: 37.3
Year: 1984 | Value: 36.4
Year: 1985 | Value: 35.6
Year: 1986 | Value: 34.9
Year: 1987 | Value: 34.2
Year: 1988 | Value: 33.6
Year: 1989 | Value: 33
Year: 1990 | Value: 32.5
Year: 1991 | Value: 32.1
Year: 1992 | Value: 31.6
Year: 1993 | Value: 31.3
Year: 1994 | Value: 30.9
Year: 1995 | Value: 30.6
Year: 1996 | Value: 30.2
Year: 1997 | Value: 29.9
Year: 1998 | Value: 29.6
Year: 1999 | Value: 29.2
Year: 2000 | Value: 28.8
Year: 2001 | Value: 28.4
Year: 2002 | Value: 28.1
Year: 2003 | Value: 27.6
Year: 2004 | Value: 27.2
Year: 2005 | Value: 26.8
Year: 2006 | Value: 26.4
Year: 2007 | Value: 25.9
Year: 2008 | Value: 25.5
Year: 2009 | Value: 25.1
Year: 2010 | Value: 24.7
Year: 2011 | Value: 24.3
Year: 2012 | Value: 23.8
Year: 2013 | Value: 23.5
Year: 2014 | Value: 23
Year: 2015 | Value: 22.6
Year: 2016 | Value: 22.2
Year: 2017 | Value: 21.8
Year: 2018 | Value: 21.4
Year: 2019 | Value: 21
Year: 2020 | Value: 20.6
Year: 2021 | Value: 20.1
Year: 2022 | Value: 19.6
Year: 2023 | Value: 19.1
Remark: Trinidad and Tobago
Remark: Mortality rate, under-5 (per 1,000 live births)
