Entity: MLT / SH.DYN.MORT
Year: 1960 | Value: 40
Year: 1961 | Value: 38.5
Year: 1962 | Value: 37.3
Year: 1963 | Value: 36.3
Year: 1964 | Value: 35.3
Year: 1965 | Value: 34.3
Year: 1966 | Value: 33.1
Year: 1967 | Value: 31.9
Year: 1968 | Value: 30.6
Year: 1969 | Value: 29.3
Year: 1970 | Value: 27.9
Year: 1971 | Value: 26.6
Year: 1972 | Value: 25.2
Year: 1973 | Value: 23.9
Year: 1974 | Value: 22.6
Year: 1975 | Value: 21.4
Year: 1976 | Value: 20.3
Year: 1977 | Value: 19.3
Year: 1978 | Value: 18.4
Year: 1979 | Value: 17.6
Year: 1980 | Value: 16.9
Year: 1981 | Value: 16.2
Year: 1982 | Value: 15.7
Year: 1983 | Value: 15.1
Year: 1984 | Value: 14.5
Year: 1985 | Value: 13.9
Year: 1986 | Value: 13.3
Year: 1987 | Value: 12.8
Year: 1988 | Value: 12.3
Year: 1989 | Value: 11.8
Year: 1990 | Value: 11.3
Year: 1991 | Value: 11
Year: 1992 | Value: 10.6
Year: 1993 | Value: 10.2
Year: 1994 | Value: 9.8
Year: 1995 | Value: 9.4
Year: 1996 | Value: 9
Year: 1997 | Value: 8.6
Year: 1998 | Value: 8.2
Year: 1999 | Value: 7.9
Year: 2000 | Value: 7.6
Year: 2001 | Value: 7.4
Year: 2002 | Value: 7.2
Year: 2003 | Value: 7.1
Year: 2004 | Value: 7
Year: 2005 | Value: 6.9
Year: 2006 | Value: 6.9
Year: 2007 | Value: 6.9
Year: 2008 | Value: 6.9
Year: 2009 | Value: 6.9
Year: 2010 | Value: 6.9
Year: 2011 | Value: 6.8
Year: 2012 | Value: 6.8
Year: 2013 | Value: 6.7
Year: 2014 | Value: 6.7
Year: 2015 | Value: 6.6
Year: 2016 | Value: 6.5
Year: 2017 | Value: 6.4
Year: 2018 | Value: 6.3
Year: 2019 | Value: 6.1
Year: 2020 | Value: 6
Year: 2021 | Value: 5.8
Year: 2022 | Value: 5.7
Year: 2023 | Value: 5.5
Remark: Malta
Remark: Mortality rate, under-5 (per 1,000 live births)
