Entity: ARB / SH.DYN.MORT
Year: 1990 | Value: 85.3248385425828
Year: 1991 | Value: 93.3171012858922
Year: 1992 | Value: 89.4208187020821
Year: 1993 | Value: 75.3656845386938
Year: 1994 | Value: 73.233851450619
Year: 1995 | Value: 71.2672855155214
Year: 1996 | Value: 69.2049747569563
Year: 1997 | Value: 67.1435678298185
Year: 1998 | Value: 65.0431618421872
Year: 1999 | Value: 63.0460871564588
Year: 2000 | Value: 61.018014937713
Year: 2001 | Value: 59.0888425043178
Year: 2002 | Value: 57.2544022150715
Year: 2003 | Value: 55.4107081553799
Year: 2004 | Value: 55.3732423366141
Year: 2005 | Value: 53.593428943193
Year: 2006 | Value: 49.9992694004969
Year: 2007 | Value: 48.0431179632949
Year: 2008 | Value: 46.1816413629311
Year: 2009 | Value: 44.5280921640221
Year: 2010 | Value: 44.5478729826072
Year: 2011 | Value: 53.2587906290182
Year: 2012 | Value: 42.6674264130527
Year: 2013 | Value: 39.5127635612509
Year: 2014 | Value: 38.2799244975772
Year: 2015 | Value: 37.6067990424134
Year: 2016 | Value: 36.6614741024398
Year: 2017 | Value: 37.7385335476234
Year: 2018 | Value: 36.6148037072111
Year: 2019 | Value: 34.9550715309171
Year: 2020 | Value: 33.9629421038802
Year: 2021 | Value: 33.3627219946347
Year: 2022 | Value: 34.9880873365607
Year: 2023 | Value: 31.7791999547012
Remark: Arab World
Remark: Mortality rate, under-5 (per 1,000 live births)
