Entity: NIC / SH.DYN.MORT
Year: 1960 | Value: 198
Year: 1961 | Value: 195.9
Year: 1962 | Value: 194
Year: 1963 | Value: 191.9
Year: 1964 | Value: 189.5
Year: 1965 | Value: 187
Year: 1966 | Value: 184.3
Year: 1967 | Value: 181.3
Year: 1968 | Value: 178
Year: 1969 | Value: 174.4
Year: 1970 | Value: 170.5
Year: 1971 | Value: 166.1
Year: 1972 | Value: 186.7
Year: 1973 | Value: 155.9
Year: 1974 | Value: 149.9
Year: 1975 | Value: 143.5
Year: 1976 | Value: 136.5
Year: 1977 | Value: 129.2
Year: 1978 | Value: 121.9
Year: 1979 | Value: 114.8
Year: 1980 | Value: 108
Year: 1981 | Value: 101.6
Year: 1982 | Value: 95.8
Year: 1983 | Value: 90.7
Year: 1984 | Value: 86.2
Year: 1985 | Value: 82.1
Year: 1986 | Value: 78.5
Year: 1987 | Value: 75.3
Year: 1988 | Value: 72.2
Year: 1989 | Value: 69.2
Year: 1990 | Value: 66.2
Year: 1991 | Value: 63.1
Year: 1992 | Value: 60
Year: 1993 | Value: 56.9
Year: 1994 | Value: 53.9
Year: 1995 | Value: 50.9
Year: 1996 | Value: 48.1
Year: 1997 | Value: 45.4
Year: 1998 | Value: 50.1
Year: 1999 | Value: 40.4
Year: 2000 | Value: 38.2
Year: 2001 | Value: 36.2
Year: 2002 | Value: 34.3
Year: 2003 | Value: 32.6
Year: 2004 | Value: 31
Year: 2005 | Value: 29.5
Year: 2006 | Value: 28.1
Year: 2007 | Value: 26.8
Year: 2008 | Value: 25.5
Year: 2009 | Value: 24.4
Year: 2010 | Value: 23.3
Year: 2011 | Value: 22.2
Year: 2012 | Value: 21.3
Year: 2013 | Value: 20.3
Year: 2014 | Value: 19.4
Year: 2015 | Value: 18.6
Year: 2016 | Value: 17.8
Year: 2017 | Value: 17.1
Year: 2018 | Value: 16.4
Year: 2019 | Value: 15.7
Year: 2020 | Value: 15.1
Year: 2021 | Value: 14.5
Year: 2022 | Value: 13.9
Year: 2023 | Value: 13.4
Remark: Nicaragua
Remark: Mortality rate, under-5 (per 1,000 live births)
