Entity: JAM / SH.DYN.MORT
Year: 1960 | Value: 81.7
Year: 1961 | Value: 77.9
Year: 1962 | Value: 74.5
Year: 1963 | Value: 71.7
Year: 1964 | Value: 69.1
Year: 1965 | Value: 66.9
Year: 1966 | Value: 64.9
Year: 1967 | Value: 62.8
Year: 1968 | Value: 60.8
Year: 1969 | Value: 58.7
Year: 1970 | Value: 56.4
Year: 1971 | Value: 54.1
Year: 1972 | Value: 51.8
Year: 1973 | Value: 49.5
Year: 1974 | Value: 47.4
Year: 1975 | Value: 45.5
Year: 1976 | Value: 43.7
Year: 1977 | Value: 42.1
Year: 1978 | Value: 40.6
Year: 1979 | Value: 39.2
Year: 1980 | Value: 37.8
Year: 1981 | Value: 36.6
Year: 1982 | Value: 35.4
Year: 1983 | Value: 34.3
Year: 1984 | Value: 33.2
Year: 1985 | Value: 32.2
Year: 1986 | Value: 31.3
Year: 1987 | Value: 30.4
Year: 1988 | Value: 29.6
Year: 1989 | Value: 28.8
Year: 1990 | Value: 28
Year: 1991 | Value: 27.3
Year: 1992 | Value: 26.6
Year: 1993 | Value: 25.8
Year: 1994 | Value: 25.1
Year: 1995 | Value: 24.3
Year: 1996 | Value: 23.5
Year: 1997 | Value: 22.7
Year: 1998 | Value: 21.9
Year: 1999 | Value: 21.2
Year: 2000 | Value: 20.6
Year: 2001 | Value: 20
Year: 2002 | Value: 19.7
Year: 2003 | Value: 19.4
Year: 2004 | Value: 19.2
Year: 2005 | Value: 19.2
Year: 2006 | Value: 19.1
Year: 2007 | Value: 19.2
Year: 2008 | Value: 19.2
Year: 2009 | Value: 19.1
Year: 2010 | Value: 19.1
Year: 2011 | Value: 19
Year: 2012 | Value: 18.9
Year: 2013 | Value: 18.8
Year: 2014 | Value: 18.7
Year: 2015 | Value: 18.7
Year: 2016 | Value: 18.6
Year: 2017 | Value: 18.6
Year: 2018 | Value: 18.7
Year: 2019 | Value: 18.8
Year: 2020 | Value: 19
Year: 2021 | Value: 19.1
Year: 2022 | Value: 19.3
Year: 2023 | Value: 19.3
Remark: Jamaica
Remark: Mortality rate, under-5 (per 1,000 live births)
