Entity: ZAF / SH.DYN.MORT
Year: 1974 | Value: 132.3
Year: 1975 | Value: 125
Year: 1976 | Value: 117.8
Year: 1977 | Value: 111
Year: 1978 | Value: 104.7
Year: 1979 | Value: 98.8
Year: 1980 | Value: 93.5
Year: 1981 | Value: 88.4
Year: 1982 | Value: 83.9
Year: 1983 | Value: 79.8
Year: 1984 | Value: 76
Year: 1985 | Value: 72.4
Year: 1986 | Value: 68.9
Year: 1987 | Value: 65.6
Year: 1988 | Value: 62.6
Year: 1989 | Value: 60.1
Year: 1990 | Value: 58.2
Year: 1991 | Value: 57
Year: 1992 | Value: 56.6
Year: 1993 | Value: 57
Year: 1994 | Value: 58.2
Year: 1995 | Value: 59.5
Year: 1996 | Value: 61.1
Year: 1997 | Value: 62.9
Year: 1998 | Value: 65.6
Year: 1999 | Value: 68.5
Year: 2000 | Value: 71.1
Year: 2001 | Value: 74.3
Year: 2002 | Value: 76.9
Year: 2003 | Value: 79.3
Year: 2004 | Value: 81
Year: 2005 | Value: 80.3
Year: 2006 | Value: 77.5
Year: 2007 | Value: 71.9
Year: 2008 | Value: 64.2
Year: 2009 | Value: 57
Year: 2010 | Value: 50
Year: 2011 | Value: 45
Year: 2012 | Value: 42.5
Year: 2013 | Value: 41
Year: 2014 | Value: 39.6
Year: 2015 | Value: 38.2
Year: 2016 | Value: 36.8
Year: 2017 | Value: 35.8
Year: 2018 | Value: 34.9
Year: 2019 | Value: 34.5
Year: 2020 | Value: 34.1
Year: 2021 | Value: 34.1
Year: 2022 | Value: 34.4
Year: 2023 | Value: 34.7
Remark: South Africa
Remark: Mortality rate, under-5 (per 1,000 live births)
