Entity: PSS / SH.DYN.MORT
Year: 1990 | Value: 36.3783791951379
Year: 1991 | Value: 35.2355919408143
Year: 1992 | Value: 34.1281556984769
Year: 1993 | Value: 33.1343573594198
Year: 1994 | Value: 32.2320816544898
Year: 1995 | Value: 31.4394826639146
Year: 1996 | Value: 30.7198621720359
Year: 1997 | Value: 30.136357422689
Year: 1998 | Value: 29.5554620167703
Year: 1999 | Value: 29.0208235431352
Year: 2000 | Value: 28.5698027465668
Year: 2001 | Value: 28.1048832623573
Year: 2002 | Value: 27.9812163989577
Year: 2003 | Value: 27.4679501903137
Year: 2004 | Value: 27.3563676127369
Year: 2005 | Value: 27.227411373408
Year: 2006 | Value: 27.1379405144695
Year: 2007 | Value: 26.9658507786571
Year: 2008 | Value: 26.6061393770221
Year: 2009 | Value: 26.7348813307402
Year: 2010 | Value: 25.7017649937641
Year: 2011 | Value: 25.226561076019
Year: 2012 | Value: 24.6949019852471
Year: 2013 | Value: 24.3052677176318
Year: 2014 | Value: 23.9895804893013
Year: 2015 | Value: 23.854271950415
Year: 2016 | Value: 23.854527116504
Year: 2017 | Value: 23.9792482721131
Year: 2018 | Value: 24.1068133139471
Year: 2019 | Value: 24.4698372433787
Year: 2020 | Value: 24.2673314731435
Year: 2021 | Value: 24.1529912767645
Year: 2022 | Value: 23.8956098960658
Year: 2023 | Value: 23.5016798798031
Remark: Pacific island small states
Remark: Mortality rate, under-5 (per 1,000 live births)
