Entity: SLE / SH.DYN.MORT
Year: 1960 | Value: 390.9
Year: 1961 | Value: 385.2
Year: 1962 | Value: 379.5
Year: 1963 | Value: 373.9
Year: 1964 | Value: 368.1
Year: 1965 | Value: 362.2
Year: 1966 | Value: 356.3
Year: 1967 | Value: 350.4
Year: 1968 | Value: 344.6
Year: 1969 | Value: 339.2
Year: 1970 | Value: 333.8
Year: 1971 | Value: 328.5
Year: 1972 | Value: 323.4
Year: 1973 | Value: 318.5
Year: 1974 | Value: 313.7
Year: 1975 | Value: 309.1
Year: 1976 | Value: 304.6
Year: 1977 | Value: 300.3
Year: 1978 | Value: 296.3
Year: 1979 | Value: 292.3
Year: 1980 | Value: 288.6
Year: 1981 | Value: 284.8
Year: 1982 | Value: 281.3
Year: 1983 | Value: 278
Year: 1984 | Value: 274.8
Year: 1985 | Value: 271.8
Year: 1986 | Value: 269
Year: 1987 | Value: 266.4
Year: 1988 | Value: 263.7
Year: 1989 | Value: 261.5
Year: 1990 | Value: 259.3
Year: 1991 | Value: 257.1
Year: 1992 | Value: 254.8
Year: 1993 | Value: 252.5
Year: 1994 | Value: 249.7
Year: 1995 | Value: 246.5
Year: 1996 | Value: 242.8
Year: 1997 | Value: 238.6
Year: 1998 | Value: 233.9
Year: 1999 | Value: 229
Year: 2000 | Value: 223.7
Year: 2001 | Value: 218.2
Year: 2002 | Value: 212.6
Year: 2003 | Value: 206.7
Year: 2004 | Value: 200.6
Year: 2005 | Value: 194.3
Year: 2006 | Value: 187.7
Year: 2007 | Value: 180.6
Year: 2008 | Value: 173.3
Year: 2009 | Value: 166
Year: 2010 | Value: 158.7
Year: 2011 | Value: 151.7
Year: 2012 | Value: 145
Year: 2013 | Value: 138.8
Year: 2014 | Value: 136.8
Year: 2015 | Value: 137.6
Year: 2016 | Value: 122.7
Year: 2017 | Value: 117.9
Year: 2018 | Value: 113.4
Year: 2019 | Value: 109.1
Year: 2020 | Value: 105.1
Year: 2021 | Value: 101.4
Year: 2022 | Value: 97.7
Year: 2023 | Value: 94.3
Remark: Sierra Leone
Remark: Mortality rate, under-5 (per 1,000 live births)
