Entity: MNA / SH.DYN.MORT
Year: 1990 | Value: 101.829294424139
Year: 1991 | Value: 98.745998019554
Year: 1992 | Value: 96.0692420988191
Year: 1993 | Value: 94.3056338669964
Year: 1994 | Value: 92.7101053781714
Year: 1995 | Value: 90.7308922850888
Year: 1996 | Value: 88.4414259822628
Year: 1997 | Value: 85.9400915167205
Year: 1998 | Value: 83.2802486157567
Year: 1999 | Value: 80.7650293231884
Year: 2000 | Value: 78.1355712931829
Year: 2001 | Value: 75.309214049504
Year: 2002 | Value: 72.8041156811614
Year: 2003 | Value: 70.5684072564898
Year: 2004 | Value: 68.1077904349611
Year: 2005 | Value: 65.8196012887768
Year: 2006 | Value: 63.8914223320177
Year: 2007 | Value: 61.9175255648537
Year: 2008 | Value: 60.0479749716699
Year: 2009 | Value: 58.385209802323
Year: 2010 | Value: 56.6049106157053
Year: 2011 | Value: 54.8072677645691
Year: 2012 | Value: 53.2878745629408
Year: 2013 | Value: 51.5040953191843
Year: 2014 | Value: 49.6755918154428
Year: 2015 | Value: 48.1970559238864
Year: 2016 | Value: 46.6829903667431
Year: 2017 | Value: 45.4927391015156
Year: 2018 | Value: 44.787789131083
Year: 2019 | Value: 43.745607626734
Year: 2020 | Value: 42.4403369537926
Year: 2021 | Value: 41.3728363978021
Year: 2022 | Value: 40.1584803153816
Year: 2023 | Value: 39.1207393207127
Remark: Middle East, North Africa, Afghanistan & Pakistan (excluding high income)
Remark: Mortality rate, under-5 (per 1,000 live births)
