Entity: BHR / SH.DYN.MORT
Year: 1960 | Value: 198
Year: 1961 | Value: 181.8
Year: 1962 | Value: 166.3
Year: 1963 | Value: 152.2
Year: 1964 | Value: 139
Year: 1965 | Value: 126.6
Year: 1966 | Value: 115.2
Year: 1967 | Value: 104.6
Year: 1968 | Value: 95
Year: 1969 | Value: 86
Year: 1970 | Value: 77.9
Year: 1971 | Value: 70.5
Year: 1972 | Value: 63.8
Year: 1973 | Value: 58
Year: 1974 | Value: 52.9
Year: 1975 | Value: 48.4
Year: 1976 | Value: 44.5
Year: 1977 | Value: 41.1
Year: 1978 | Value: 38.1
Year: 1979 | Value: 35.4
Year: 1980 | Value: 33
Year: 1981 | Value: 30.9
Year: 1982 | Value: 29.1
Year: 1983 | Value: 27.6
Year: 1984 | Value: 26.3
Year: 1985 | Value: 25.2
Year: 1986 | Value: 24.4
Year: 1987 | Value: 23.8
Year: 1988 | Value: 23.4
Year: 1989 | Value: 23.2
Year: 1990 | Value: 23.1
Year: 1991 | Value: 22.7
Year: 1992 | Value: 22.1
Year: 1993 | Value: 21
Year: 1994 | Value: 19.7
Year: 1995 | Value: 18.2
Year: 1996 | Value: 16.6
Year: 1997 | Value: 15.2
Year: 1998 | Value: 14.1
Year: 1999 | Value: 13.2
Year: 2000 | Value: 12.5
Year: 2001 | Value: 12
Year: 2002 | Value: 11.6
Year: 2003 | Value: 11.3
Year: 2004 | Value: 11
Year: 2005 | Value: 10.6
Year: 2006 | Value: 10.3
Year: 2007 | Value: 9.8
Year: 2008 | Value: 9.4
Year: 2009 | Value: 9
Year: 2010 | Value: 8.6
Year: 2011 | Value: 8.3
Year: 2012 | Value: 8.1
Year: 2013 | Value: 7.9
Year: 2014 | Value: 7.8
Year: 2015 | Value: 7.7
Year: 2016 | Value: 7.6
Year: 2017 | Value: 7.7
Year: 2018 | Value: 7.7
Year: 2019 | Value: 7.8
Year: 2020 | Value: 8
Year: 2021 | Value: 8.2
Year: 2022 | Value: 8.4
Year: 2023 | Value: 8.6
Remark: Bahrain
Remark: Mortality rate, under-5 (per 1,000 live births)
