Entity: PER / SH.DYN.MORT
Year: 1960 | Value: 228.5
Year: 1961 | Value: 222.4
Year: 1962 | Value: 215.9
Year: 1963 | Value: 209
Year: 1964 | Value: 201.6
Year: 1965 | Value: 194.4
Year: 1966 | Value: 187.4
Year: 1967 | Value: 181.1
Year: 1968 | Value: 175.3
Year: 1969 | Value: 170.1
Year: 1970 | Value: 197
Year: 1971 | Value: 160.7
Year: 1972 | Value: 156
Year: 1973 | Value: 151.3
Year: 1974 | Value: 146.6
Year: 1975 | Value: 142.2
Year: 1976 | Value: 138.2
Year: 1977 | Value: 134.9
Year: 1978 | Value: 132
Year: 1979 | Value: 129.3
Year: 1980 | Value: 126.6
Year: 1981 | Value: 123.6
Year: 1982 | Value: 120
Year: 1983 | Value: 115.8
Year: 1984 | Value: 110.8
Year: 1985 | Value: 105.3
Year: 1986 | Value: 99.7
Year: 1987 | Value: 94.3
Year: 1988 | Value: 89.2
Year: 1989 | Value: 84.6
Year: 1990 | Value: 80.4
Year: 1991 | Value: 76.3
Year: 1992 | Value: 72
Year: 1993 | Value: 67.5
Year: 1994 | Value: 62.9
Year: 1995 | Value: 58.2
Year: 1996 | Value: 53.6
Year: 1997 | Value: 49.2
Year: 1998 | Value: 45.1
Year: 1999 | Value: 41.3
Year: 2000 | Value: 37.9
Year: 2001 | Value: 34.9
Year: 2002 | Value: 32.4
Year: 2003 | Value: 30.1
Year: 2004 | Value: 28.2
Year: 2005 | Value: 26.5
Year: 2006 | Value: 25
Year: 2007 | Value: 23.7
Year: 2008 | Value: 22.5
Year: 2009 | Value: 21.4
Year: 2010 | Value: 20.4
Year: 2011 | Value: 19.6
Year: 2012 | Value: 18.9
Year: 2013 | Value: 18.4
Year: 2014 | Value: 17.9
Year: 2015 | Value: 17.6
Year: 2016 | Value: 17.3
Year: 2017 | Value: 17.1
Year: 2018 | Value: 16.9
Year: 2019 | Value: 16.8
Year: 2020 | Value: 16.6
Year: 2021 | Value: 16.4
Year: 2022 | Value: 16.1
Year: 2023 | Value: 15.8
Remark: Peru
Remark: Mortality rate, under-5 (per 1,000 live births)
