Entity: TZA / SH.DYN.MORT
Year: 1960 | Value: 241.9
Year: 1961 | Value: 240
Year: 1962 | Value: 237.9
Year: 1963 | Value: 235.9
Year: 1964 | Value: 233.5
Year: 1965 | Value: 231
Year: 1966 | Value: 228.1
Year: 1967 | Value: 225.2
Year: 1968 | Value: 222
Year: 1969 | Value: 218.7
Year: 1970 | Value: 215.6
Year: 1971 | Value: 212.2
Year: 1972 | Value: 208.5
Year: 1973 | Value: 204.7
Year: 1974 | Value: 200.6
Year: 1975 | Value: 196.3
Year: 1976 | Value: 191.8
Year: 1977 | Value: 187.5
Year: 1978 | Value: 183.6
Year: 1979 | Value: 180.5
Year: 1980 | Value: 178.7
Year: 1981 | Value: 177.9
Year: 1982 | Value: 177.8
Year: 1983 | Value: 177.9
Year: 1984 | Value: 177.8
Year: 1985 | Value: 177
Year: 1986 | Value: 175.6
Year: 1987 | Value: 173.7
Year: 1988 | Value: 171.5
Year: 1989 | Value: 169.1
Year: 1990 | Value: 166.9
Year: 1991 | Value: 164.9
Year: 1992 | Value: 163
Year: 1993 | Value: 160.9
Year: 1994 | Value: 158.8
Year: 1995 | Value: 156.1
Year: 1996 | Value: 152.4
Year: 1997 | Value: 147.8
Year: 1998 | Value: 142.4
Year: 1999 | Value: 135.8
Year: 2000 | Value: 128.4
Year: 2001 | Value: 120.6
Year: 2002 | Value: 112.8
Year: 2003 | Value: 105.3
Year: 2004 | Value: 98.6
Year: 2005 | Value: 92.4
Year: 2006 | Value: 86.9
Year: 2007 | Value: 81.6
Year: 2008 | Value: 77
Year: 2009 | Value: 72.4
Year: 2010 | Value: 68.6
Year: 2011 | Value: 65
Year: 2012 | Value: 62.1
Year: 2013 | Value: 59.5
Year: 2014 | Value: 56.7
Year: 2015 | Value: 54.8
Year: 2016 | Value: 52.5
Year: 2017 | Value: 50.2
Year: 2018 | Value: 48
Year: 2019 | Value: 46
Year: 2020 | Value: 44.2
Year: 2021 | Value: 42.2
Year: 2022 | Value: 40.5
Year: 2023 | Value: 38.9
Remark: Tanzania
Remark: Mortality rate, under-5 (per 1,000 live births)
