Entity: IND / SH.DYN.MORT
Year: 1960 | Value: 241.1
Year: 1961 | Value: 237.9
Year: 1962 | Value: 234.8
Year: 1963 | Value: 232
Year: 1964 | Value: 229.3
Year: 1965 | Value: 226.9
Year: 1966 | Value: 224.4
Year: 1967 | Value: 222
Year: 1968 | Value: 219.7
Year: 1969 | Value: 217.2
Year: 1970 | Value: 214.5
Year: 1971 | Value: 211.5
Year: 1972 | Value: 208.3
Year: 1973 | Value: 204.7
Year: 1974 | Value: 200.7
Year: 1975 | Value: 196.1
Year: 1976 | Value: 191.2
Year: 1977 | Value: 185.8
Year: 1978 | Value: 180.2
Year: 1979 | Value: 174.5
Year: 1980 | Value: 169.1
Year: 1981 | Value: 163.8
Year: 1982 | Value: 159
Year: 1983 | Value: 154.5
Year: 1984 | Value: 150.3
Year: 1985 | Value: 146.2
Year: 1986 | Value: 142.2
Year: 1987 | Value: 138.2
Year: 1988 | Value: 134.2
Year: 1989 | Value: 130.3
Year: 1990 | Value: 126.5
Year: 1991 | Value: 122.9
Year: 1992 | Value: 119.5
Year: 1993 | Value: 116.1
Year: 1994 | Value: 112.8
Year: 1995 | Value: 109.5
Year: 1996 | Value: 106
Year: 1997 | Value: 102.5
Year: 1998 | Value: 98.9
Year: 1999 | Value: 95.3
Year: 2000 | Value: 91.6
Year: 2001 | Value: 88
Year: 2002 | Value: 84.5
Year: 2003 | Value: 81.1
Year: 2004 | Value: 77.7
Year: 2005 | Value: 74.4
Year: 2006 | Value: 71.1
Year: 2007 | Value: 67.9
Year: 2008 | Value: 64.6
Year: 2009 | Value: 61.4
Year: 2010 | Value: 58.2
Year: 2011 | Value: 55
Year: 2012 | Value: 52
Year: 2013 | Value: 49.1
Year: 2014 | Value: 46.3
Year: 2015 | Value: 43.6
Year: 2016 | Value: 41.1
Year: 2017 | Value: 38.7
Year: 2018 | Value: 36.4
Year: 2019 | Value: 34.3
Year: 2020 | Value: 32.4
Year: 2021 | Value: 30.6
Year: 2022 | Value: 29.1
Year: 2023 | Value: 27.7
Remark: India
Remark: Mortality rate, under-5 (per 1,000 live births)
