Entity: CHN / SH.DYN.MORT
Year: 1969 | Value: 119.1
Year: 1970 | Value: 113.1
Year: 1971 | Value: 107.3
Year: 1972 | Value: 101.7
Year: 1973 | Value: 96.1
Year: 1974 | Value: 90.5
Year: 1975 | Value: 85
Year: 1976 | Value: 79.7
Year: 1977 | Value: 74.7
Year: 1978 | Value: 70.1
Year: 1979 | Value: 66.2
Year: 1980 | Value: 62.8
Year: 1981 | Value: 60
Year: 1982 | Value: 57.8
Year: 1983 | Value: 56.1
Year: 1984 | Value: 55
Year: 1985 | Value: 54.3
Year: 1986 | Value: 54
Year: 1987 | Value: 54
Year: 1988 | Value: 54
Year: 1989 | Value: 53.9
Year: 1990 | Value: 53.7
Year: 1991 | Value: 53.1
Year: 1992 | Value: 52.2
Year: 1993 | Value: 50.8
Year: 1994 | Value: 49.3
Year: 1995 | Value: 47.5
Year: 1996 | Value: 45.6
Year: 1997 | Value: 43.6
Year: 1998 | Value: 41.4
Year: 1999 | Value: 39.1
Year: 2000 | Value: 36.7
Year: 2001 | Value: 34.2
Year: 2002 | Value: 31.5
Year: 2003 | Value: 28.9
Year: 2004 | Value: 26.4
Year: 2005 | Value: 24
Year: 2006 | Value: 21.9
Year: 2007 | Value: 20.1
Year: 2008 | Value: 18.5
Year: 2009 | Value: 17.1
Year: 2010 | Value: 15.8
Year: 2011 | Value: 14.6
Year: 2012 | Value: 13.5
Year: 2013 | Value: 12.5
Year: 2014 | Value: 11.5
Year: 2015 | Value: 10.7
Year: 2016 | Value: 9.9
Year: 2017 | Value: 9.2
Year: 2018 | Value: 8.6
Year: 2019 | Value: 8
Year: 2020 | Value: 7.5
Year: 2021 | Value: 7
Year: 2022 | Value: 6.6
Year: 2023 | Value: 6.2
Remark: China
Remark: Mortality rate, under-5 (per 1,000 live births)
