Entity: ARM / SH.DYN.MORT
Year: 1976 | Value: 86.7
Year: 1977 | Value: 83.2
Year: 1978 | Value: 79.8
Year: 1979 | Value: 76.7
Year: 1980 | Value: 73.6
Year: 1981 | Value: 70.6
Year: 1982 | Value: 67.8
Year: 1983 | Value: 65.2
Year: 1984 | Value: 62.6
Year: 1985 | Value: 60.1
Year: 1986 | Value: 57.8
Year: 1987 | Value: 55.5
Year: 1988 | Value: 99.3
Year: 1989 | Value: 51.1
Year: 1990 | Value: 49
Year: 1991 | Value: 46.9
Year: 1992 | Value: 44.9
Year: 1993 | Value: 42.9
Year: 1994 | Value: 40.9
Year: 1995 | Value: 39
Year: 1996 | Value: 37.2
Year: 1997 | Value: 35.5
Year: 1998 | Value: 33.9
Year: 1999 | Value: 32.3
Year: 2000 | Value: 30.8
Year: 2001 | Value: 29.3
Year: 2002 | Value: 27.9
Year: 2003 | Value: 26.5
Year: 2004 | Value: 25.2
Year: 2005 | Value: 24
Year: 2006 | Value: 22.8
Year: 2007 | Value: 21.7
Year: 2008 | Value: 20.6
Year: 2009 | Value: 19.7
Year: 2010 | Value: 18.7
Year: 2011 | Value: 17.8
Year: 2012 | Value: 17
Year: 2013 | Value: 16.2
Year: 2014 | Value: 15.4
Year: 2015 | Value: 14.6
Year: 2016 | Value: 14
Year: 2017 | Value: 13.3
Year: 2018 | Value: 12.7
Year: 2019 | Value: 12.1
Year: 2020 | Value: 11.6
Year: 2021 | Value: 11
Year: 2022 | Value: 10.5
Year: 2023 | Value: 10
Remark: Armenia
Remark: Mortality rate, under-5 (per 1,000 live births)
