Entity: EAR / SH.DYN.MORT
Year: 1990 | Value: 109.916666984765
Year: 1991 | Value: 106.653735904986
Year: 1992 | Value: 103.769607885863
Year: 1993 | Value: 100.794574281879
Year: 1994 | Value: 98.8849068066208
Year: 1995 | Value: 94.8670900498689
Year: 1996 | Value: 91.8733664357959
Year: 1997 | Value: 88.9084945518217
Year: 1998 | Value: 85.891384580402
Year: 1999 | Value: 82.6497969709358
Year: 2000 | Value: 79.5098751317811
Year: 2001 | Value: 76.399160308434
Year: 2002 | Value: 73.2580346049249
Year: 2003 | Value: 70.324721945552
Year: 2004 | Value: 67.8005132801125
Year: 2005 | Value: 64.5167642064792
Year: 2006 | Value: 61.7265535440152
Year: 2007 | Value: 59.0212456797311
Year: 2008 | Value: 56.8350026241873
Year: 2009 | Value: 53.8912726455869
Year: 2010 | Value: 51.6383479369962
Year: 2011 | Value: 48.9901497499113
Year: 2012 | Value: 46.8076017024983
Year: 2013 | Value: 44.6687099109601
Year: 2014 | Value: 42.5945060257876
Year: 2015 | Value: 40.7712823776093
Year: 2016 | Value: 39.0664505942191
Year: 2017 | Value: 37.491424860633
Year: 2018 | Value: 36.0998213330396
Year: 2019 | Value: 34.7934689128353
Year: 2020 | Value: 33.5541596066076
Year: 2021 | Value: 32.3530751490988
Year: 2022 | Value: 31.2933196619679
Year: 2023 | Value: 30.3431165282122
Remark: Early-demographic dividend
Remark: Mortality rate, under-5 (per 1,000 live births)
