Entity: Colombia
Year: 2000 | Value: 3.5112099647522
Year: 2001 | Value: 3.70867991447449
Year: 2002 | Value: 4.26812982559204
Year: 2003 | Value: 4.32513999938965
Year: 2004 | Value: 4.07934999465942
Year: 2005 | Value: 4.02098989486694
Year: 2006 | Value: 3.91671991348267
Year: 2007 | Value: 4.08301019668579
Year: 2008 | Value: 3.9387800693512
Year: 2009 | Value: 4.77651977539062
Year: 2010 | Value: 4.83382987976074
Year: 2011 | Value: 4.46608018875122
Year: 2012 | Value: 4.37038993835449
Year: 2013 | Value: 4.87855005264282
Year: 2014 | Value: 4.62945985794067
Year: 2015 | Value: 4.47038984298706
Year: 2016 | Value: 4.47721004486084
Year: 2017 | Value: 4.53551006317139
Year: 2018 | Value: 4.44910001754761
Year: 2019 | Value: 4.51069021224976
Year: 2020 | Value: 5.26166009902954
