Entity: Indonesia
Year: 2001 | Value: 2.46003007888794
Year: 2002 | Value: 2.64568996429443
Year: 2003 | Value: 3.21799993515015
Year: 2004 | Value: 2.7484700679779
Year: 2005 | Value: 2.87281990051269
Year: 2007 | Value: 3.04425001144409
Year: 2008 | Value: 2.90190005302429
Year: 2009 | Value: 3.52513003349304
Year: 2010 | Value: 2.81227993965149
Year: 2011 | Value: 3.18944001197815
Year: 2012 | Value: 3.40748000144958
Year: 2013 | Value: 3.35904002189636
Year: 2014 | Value: 3.28800988197327
Year: 2015 | Value: 3.58360004425049
Year: 2016 | Value: 1.21023452496964
Year: 2017 | Value: 1.05324382490056
Year: 2018 | Value: 0.994436460846179
Year: 2019 | Value: 0.964399077622927
Year: 2020 | Value: 1.01593221347809
Year: 2021 | Value: 1.03221750658374
Year: 2022 | Value: 0.863943349575907
