Entity: BIH / SP.POP.TOTL
Year: 1960 | Value: 3281381
Year: 1961 | Value: 3348035
Year: 1962 | Value: 3407532
Year: 1963 | Value: 3461942
Year: 1964 | Value: 3513441
Year: 1965 | Value: 3562834
Year: 1966 | Value: 3610562
Year: 1967 | Value: 3656223
Year: 1968 | Value: 3698794
Year: 1969 | Value: 3737765
Year: 1970 | Value: 3773247
Year: 1971 | Value: 3809376
Year: 1972 | Value: 3848271
Year: 1973 | Value: 3887376
Year: 1974 | Value: 3926472
Year: 1975 | Value: 3965743
Year: 1976 | Value: 4004552
Year: 1977 | Value: 4042124
Year: 1978 | Value: 4078240
Year: 1979 | Value: 4113300
Year: 1980 | Value: 4148426
Year: 1981 | Value: 4184217
Year: 1982 | Value: 4221100
Year: 1983 | Value: 4258728
Year: 1984 | Value: 4295536
Year: 1985 | Value: 4330364
Year: 1986 | Value: 4362115
Year: 1987 | Value: 4390246
Year: 1988 | Value: 4414404
Year: 1989 | Value: 4433983
Year: 1990 | Value: 4448652
Year: 1991 | Value: 4458343
Year: 1992 | Value: 4234616
Year: 1993 | Value: 3904482
Year: 1994 | Value: 3725412
Year: 1995 | Value: 3715564
Year: 1996 | Value: 3875246
Year: 1997 | Value: 4018227
Year: 1998 | Value: 4089356
Year: 1999 | Value: 4130305
Year: 2000 | Value: 4159771
Year: 2001 | Value: 4179438
Year: 2002 | Value: 4188002
Year: 2003 | Value: 4178523
Year: 2004 | Value: 4140987
Year: 2005 | Value: 4096493
Year: 2006 | Value: 4063272
Year: 2007 | Value: 4013424
Year: 2008 | Value: 3947544
Year: 2009 | Value: 3879794
Year: 2010 | Value: 3811472
Year: 2011 | Value: 3741798
Year: 2012 | Value: 3670113
Year: 2013 | Value: 3610859
Year: 2014 | Value: 3564829
Year: 2015 | Value: 3518541
Year: 2016 | Value: 3473003
Year: 2017 | Value: 3428682
Year: 2018 | Value: 3387000
Year: 2019 | Value: 3345533
Year: 2020 | Value: 3299349
Year: 2021 | Value: 3244907
Year: 2022 | Value: 3204802
Year: 2023 | Value: 3185073
Year: 2024 | Value: 3164253
Remark: Bosnia and Herzegovina
Remark: Population, total
