Entity: AGO / SP.POP.TOTL
Year: 1960 | Value: 5231654
Year: 1961 | Value: 5301583
Year: 1962 | Value: 5354310
Year: 1963 | Value: 5408320
Year: 1964 | Value: 5464187
Year: 1965 | Value: 5521981
Year: 1966 | Value: 5581386
Year: 1967 | Value: 5641807
Year: 1968 | Value: 5702699
Year: 1969 | Value: 5763685
Year: 1970 | Value: 5852788
Year: 1971 | Value: 5991102
Year: 1972 | Value: 6174262
Year: 1973 | Value: 6388528
Year: 1974 | Value: 6613367
Year: 1975 | Value: 6842947
Year: 1976 | Value: 7074664
Year: 1977 | Value: 7317829
Year: 1978 | Value: 7576734
Year: 1979 | Value: 7847207
Year: 1980 | Value: 8133872
Year: 1981 | Value: 8435607
Year: 1982 | Value: 8751648
Year: 1983 | Value: 9082983
Year: 1984 | Value: 9425917
Year: 1985 | Value: 9779120
Year: 1986 | Value: 10139450
Year: 1987 | Value: 10497858
Year: 1988 | Value: 10861291
Year: 1989 | Value: 11238562
Year: 1990 | Value: 11626360
Year: 1991 | Value: 12023529
Year: 1992 | Value: 12423712
Year: 1993 | Value: 12827135
Year: 1994 | Value: 13249764
Year: 1995 | Value: 13699778
Year: 1996 | Value: 14170973
Year: 1997 | Value: 14660413
Year: 1998 | Value: 15159370
Year: 1999 | Value: 15667235
Year: 2000 | Value: 16194869
Year: 2001 | Value: 16747208
Year: 2002 | Value: 17327699
Year: 2003 | Value: 17943712
Year: 2004 | Value: 18600423
Year: 2005 | Value: 19291161
Year: 2006 | Value: 20015279
Year: 2007 | Value: 20778561
Year: 2008 | Value: 21578655
Year: 2009 | Value: 22414773
Year: 2010 | Value: 23294825
Year: 2011 | Value: 24218352
Year: 2012 | Value: 25177394
Year: 2013 | Value: 26165620
Year: 2014 | Value: 27160769
Year: 2015 | Value: 28157798
Year: 2016 | Value: 29183070
Year: 2017 | Value: 30234839
Year: 2018 | Value: 31297155
Year: 2019 | Value: 32375632
Year: 2020 | Value: 33451132
Year: 2021 | Value: 34532429
Year: 2022 | Value: 35635029
Year: 2023 | Value: 36749906
Year: 2024 | Value: 37885849
Remark: Angola
Remark: Population, total
