Entity: TCA / SP.POP.TOTL
Year: 1960 | Value: 5599
Year: 1961 | Value: 5622
Year: 1962 | Value: 5636
Year: 1963 | Value: 5647
Year: 1964 | Value: 5657
Year: 1965 | Value: 5658
Year: 1966 | Value: 5654
Year: 1967 | Value: 5657
Year: 1968 | Value: 5656
Year: 1969 | Value: 5652
Year: 1970 | Value: 5667
Year: 1971 | Value: 5754
Year: 1972 | Value: 5915
Year: 1973 | Value: 6090
Year: 1974 | Value: 6273
Year: 1975 | Value: 6463
Year: 1976 | Value: 6660
Year: 1977 | Value: 6864
Year: 1978 | Value: 7083
Year: 1979 | Value: 7306
Year: 1980 | Value: 7564
Year: 1981 | Value: 7908
Year: 1982 | Value: 8297
Year: 1983 | Value: 8697
Year: 1984 | Value: 9107
Year: 1985 | Value: 9521
Year: 1986 | Value: 9941
Year: 1987 | Value: 10361
Year: 1988 | Value: 10775
Year: 1989 | Value: 11193
Year: 1990 | Value: 11688
Year: 1991 | Value: 12305
Year: 1992 | Value: 12970
Year: 1993 | Value: 13648
Year: 1994 | Value: 14344
Year: 1995 | Value: 15052
Year: 1996 | Value: 15765
Year: 1997 | Value: 16482
Year: 1998 | Value: 17212
Year: 1999 | Value: 17959
Year: 2000 | Value: 18730
Year: 2001 | Value: 19576
Year: 2002 | Value: 20597
Year: 2003 | Value: 21727
Year: 2004 | Value: 22856
Year: 2005 | Value: 23988
Year: 2006 | Value: 25123
Year: 2007 | Value: 26270
Year: 2008 | Value: 27427
Year: 2009 | Value: 28588
Year: 2010 | Value: 29739
Year: 2011 | Value: 30846
Year: 2012 | Value: 32127
Year: 2013 | Value: 33653
Year: 2014 | Value: 35050
Year: 2015 | Value: 36605
Year: 2016 | Value: 38315
Year: 2017 | Value: 39913
Year: 2018 | Value: 41559
Year: 2019 | Value: 43166
Year: 2020 | Value: 44386
Year: 2021 | Value: 45243
Year: 2022 | Value: 45847
Year: 2023 | Value: 46198
Year: 2024 | Value: 46535
Remark: Turks and Caicos Islands
Remark: Population, total
