Entity: KHM / SP.POP.TOTL
Year: 1960 | Value: 5449966
Year: 1961 | Value: 5571168
Year: 1962 | Value: 5697558
Year: 1963 | Value: 5823010
Year: 1964 | Value: 5946178
Year: 1965 | Value: 6072289
Year: 1966 | Value: 6201232
Year: 1967 | Value: 6332944
Year: 1968 | Value: 6467324
Year: 1969 | Value: 6604725
Year: 1970 | Value: 6639182
Year: 1971 | Value: 6620880
Year: 1972 | Value: 6673886
Year: 1973 | Value: 6739726
Year: 1974 | Value: 6783240
Year: 1975 | Value: 6581371
Year: 1976 | Value: 6134991
Year: 1977 | Value: 5668551
Year: 1978 | Value: 5211653
Year: 1979 | Value: 5088808
Year: 1980 | Value: 5199872
Year: 1981 | Value: 5284495
Year: 1982 | Value: 5436432
Year: 1983 | Value: 5636203
Year: 1984 | Value: 5845117
Year: 1985 | Value: 6043783
Year: 1986 | Value: 6285693
Year: 1987 | Value: 6557970
Year: 1988 | Value: 6812014
Year: 1989 | Value: 7073473
Year: 1990 | Value: 7374752
Year: 1991 | Value: 7686850
Year: 1992 | Value: 8113083
Year: 1993 | Value: 8616381
Year: 1994 | Value: 9239162
Year: 1995 | Value: 10018497
Year: 1996 | Value: 10801270
Year: 1997 | Value: 11570982
Year: 1998 | Value: 12058173
Year: 1999 | Value: 12265731
Year: 2000 | Value: 12462336
Year: 2001 | Value: 12658484
Year: 2002 | Value: 12855241
Year: 2003 | Value: 13050968
Year: 2004 | Value: 13244731
Year: 2005 | Value: 13439202
Year: 2006 | Value: 13639028
Year: 2007 | Value: 13841770
Year: 2008 | Value: 14053479
Year: 2009 | Value: 14276810
Year: 2010 | Value: 14500726
Year: 2011 | Value: 14722584
Year: 2012 | Value: 14945085
Year: 2013 | Value: 15170208
Year: 2014 | Value: 15396772
Year: 2015 | Value: 15623251
Year: 2016 | Value: 15852803
Year: 2017 | Value: 16073372
Year: 2018 | Value: 16274522
Year: 2019 | Value: 16481304
Year: 2020 | Value: 16725474
Year: 2021 | Value: 16974305
Year: 2022 | Value: 17201724
Year: 2023 | Value: 17423880
Year: 2024 | Value: 17638801
Remark: Cambodia
Remark: Population, total
