Entity: ATG / SP.POP.TOTL
Year: 1960 | Value: 55603
Year: 1961 | Value: 56540
Year: 1962 | Value: 57336
Year: 1963 | Value: 58138
Year: 1964 | Value: 59020
Year: 1965 | Value: 59970
Year: 1966 | Value: 60900
Year: 1967 | Value: 61837
Year: 1968 | Value: 62809
Year: 1969 | Value: 63819
Year: 1970 | Value: 64528
Year: 1971 | Value: 64729
Year: 1972 | Value: 64615
Year: 1973 | Value: 64342
Year: 1974 | Value: 64058
Year: 1975 | Value: 63839
Year: 1976 | Value: 63762
Year: 1977 | Value: 63862
Year: 1978 | Value: 64038
Year: 1979 | Value: 64274
Year: 1980 | Value: 64513
Year: 1981 | Value: 64665
Year: 1982 | Value: 64785
Year: 1983 | Value: 64934
Year: 1984 | Value: 64882
Year: 1985 | Value: 64591
Year: 1986 | Value: 64276
Year: 1987 | Value: 63946
Year: 1988 | Value: 63623
Year: 1989 | Value: 63325
Year: 1990 | Value: 63066
Year: 1991 | Value: 63387
Year: 1992 | Value: 64404
Year: 1993 | Value: 65587
Year: 1994 | Value: 66843
Year: 1995 | Value: 68189
Year: 1996 | Value: 69612
Year: 1997 | Value: 71053
Year: 1998 | Value: 72412
Year: 1999 | Value: 73666
Year: 2000 | Value: 74912
Year: 2001 | Value: 76069
Year: 2002 | Value: 77032
Year: 2003 | Value: 77884
Year: 2004 | Value: 78719
Year: 2005 | Value: 79611
Year: 2006 | Value: 80604
Year: 2007 | Value: 81704
Year: 2008 | Value: 82912
Year: 2009 | Value: 84173
Year: 2010 | Value: 85320
Year: 2011 | Value: 86332
Year: 2012 | Value: 87260
Year: 2013 | Value: 88064
Year: 2014 | Value: 88765
Year: 2015 | Value: 89409
Year: 2016 | Value: 89969
Year: 2017 | Value: 90468
Year: 2018 | Value: 90926
Year: 2019 | Value: 91364
Year: 2020 | Value: 91846
Year: 2021 | Value: 92349
Year: 2022 | Value: 92840
Year: 2023 | Value: 93316
Year: 2024 | Value: 93772
Remark: Antigua and Barbuda
Remark: Population, total
