Entity: MHL / SP.POP.TOTL
Year: 1960 | Value: 14703
Year: 1961 | Value: 15219
Year: 1962 | Value: 15755
Year: 1963 | Value: 16302
Year: 1964 | Value: 16852
Year: 1965 | Value: 17402
Year: 1966 | Value: 17927
Year: 1967 | Value: 18655
Year: 1968 | Value: 19862
Year: 1969 | Value: 21305
Year: 1970 | Value: 22530
Year: 1971 | Value: 23366
Year: 1972 | Value: 23992
Year: 1973 | Value: 24581
Year: 1974 | Value: 25296
Year: 1975 | Value: 26154
Year: 1976 | Value: 27021
Year: 1977 | Value: 27906
Year: 1978 | Value: 28809
Year: 1979 | Value: 29738
Year: 1980 | Value: 30774
Year: 1981 | Value: 32017
Year: 1982 | Value: 33397
Year: 1983 | Value: 34811
Year: 1984 | Value: 36264
Year: 1985 | Value: 37761
Year: 1986 | Value: 39286
Year: 1987 | Value: 40828
Year: 1988 | Value: 42321
Year: 1989 | Value: 43586
Year: 1990 | Value: 44629
Year: 1991 | Value: 45568
Year: 1992 | Value: 46388
Year: 1993 | Value: 47093
Year: 1994 | Value: 47712
Year: 1995 | Value: 48266
Year: 1996 | Value: 48775
Year: 1997 | Value: 49259
Year: 1998 | Value: 49717
Year: 1999 | Value: 50202
Year: 2000 | Value: 50706
Year: 2001 | Value: 51123
Year: 2002 | Value: 51425
Year: 2003 | Value: 51639
Year: 2004 | Value: 51791
Year: 2005 | Value: 51906
Year: 2006 | Value: 51992
Year: 2007 | Value: 52035
Year: 2008 | Value: 52030
Year: 2009 | Value: 52019
Year: 2010 | Value: 52044
Year: 2011 | Value: 51907
Year: 2012 | Value: 51419
Year: 2013 | Value: 50681
Year: 2014 | Value: 49796
Year: 2015 | Value: 48800
Year: 2016 | Value: 47709
Year: 2017 | Value: 46529
Year: 2018 | Value: 45285
Year: 2019 | Value: 44007
Year: 2020 | Value: 42706
Year: 2021 | Value: 41367
Year: 2022 | Value: 40077
Year: 2023 | Value: 38827
Year: 2024 | Value: 37548
Remark: Marshall Islands
Remark: Population, total
