Entity: PRY / SP.POP.TOTL
Year: 1960 | Value: 1883514
Year: 1961 | Value: 1927394
Year: 1962 | Value: 1973130
Year: 1963 | Value: 2021909
Year: 1964 | Value: 2073119
Year: 1965 | Value: 2125177
Year: 1966 | Value: 2177584
Year: 1967 | Value: 2229994
Year: 1968 | Value: 2282391
Year: 1969 | Value: 2334992
Year: 1970 | Value: 2388028
Year: 1971 | Value: 2442537
Year: 1972 | Value: 2499881
Year: 1973 | Value: 2561102
Year: 1974 | Value: 2625621
Year: 1975 | Value: 2691648
Year: 1976 | Value: 2758836
Year: 1977 | Value: 2827874
Year: 1978 | Value: 2899269
Year: 1979 | Value: 2973968
Year: 1980 | Value: 3053235
Year: 1981 | Value: 3137604
Year: 1982 | Value: 3226189
Year: 1983 | Value: 3318068
Year: 1984 | Value: 3412936
Year: 1985 | Value: 3510671
Year: 1986 | Value: 3611474
Year: 1987 | Value: 3714889
Year: 1988 | Value: 3820546
Year: 1989 | Value: 3927802
Year: 1990 | Value: 4035747
Year: 1991 | Value: 4144364
Year: 1992 | Value: 4253600
Year: 1993 | Value: 4362696
Year: 1994 | Value: 4471417
Year: 1995 | Value: 4579806
Year: 1996 | Value: 4687543
Year: 1997 | Value: 4794412
Year: 1998 | Value: 4900025
Year: 1999 | Value: 5003135
Year: 2000 | Value: 5100868
Year: 2001 | Value: 5187689
Year: 2002 | Value: 5261328
Year: 2003 | Value: 5326436
Year: 2004 | Value: 5388175
Year: 2005 | Value: 5448097
Year: 2006 | Value: 5505148
Year: 2007 | Value: 5559386
Year: 2008 | Value: 5613574
Year: 2009 | Value: 5671236
Year: 2010 | Value: 5737971
Year: 2011 | Value: 5814626
Year: 2012 | Value: 5897008
Year: 2013 | Value: 5982445
Year: 2014 | Value: 6069811
Year: 2015 | Value: 6159103
Year: 2016 | Value: 6249126
Year: 2017 | Value: 6338660
Year: 2018 | Value: 6427382
Year: 2019 | Value: 6515058
Year: 2020 | Value: 6603739
Year: 2021 | Value: 6684182
Year: 2022 | Value: 6760464
Year: 2023 | Value: 6844146
Year: 2024 | Value: 6929153
Remark: Paraguay
Remark: Population, total
