Entity: GRD / SP.POP.TOTL
Year: 1960 | Value: 94058
Year: 1961 | Value: 95335
Year: 1962 | Value: 96375
Year: 1963 | Value: 97195
Year: 1964 | Value: 97760
Year: 1965 | Value: 98067
Year: 1966 | Value: 98121
Year: 1967 | Value: 98066
Year: 1968 | Value: 98078
Year: 1969 | Value: 98204
Year: 1970 | Value: 98414
Year: 1971 | Value: 98648
Year: 1972 | Value: 98777
Year: 1973 | Value: 98709
Year: 1974 | Value: 98486
Year: 1975 | Value: 98126
Year: 1976 | Value: 97632
Year: 1977 | Value: 97017
Year: 1978 | Value: 96305
Year: 1979 | Value: 95490
Year: 1980 | Value: 94538
Year: 1981 | Value: 94052
Year: 1982 | Value: 94383
Year: 1983 | Value: 94948
Year: 1984 | Value: 95498
Year: 1985 | Value: 96111
Year: 1986 | Value: 96790
Year: 1987 | Value: 97526
Year: 1988 | Value: 98308
Year: 1989 | Value: 99121
Year: 1990 | Value: 99957
Year: 1991 | Value: 100793
Year: 1992 | Value: 101602
Year: 1993 | Value: 102382
Year: 1994 | Value: 103138
Year: 1995 | Value: 103869
Year: 1996 | Value: 104584
Year: 1997 | Value: 105293
Year: 1998 | Value: 106009
Year: 1999 | Value: 106727
Year: 2000 | Value: 107451
Year: 2001 | Value: 107987
Year: 2002 | Value: 108404
Year: 2003 | Value: 108884
Year: 2004 | Value: 109323
Year: 2005 | Value: 109734
Year: 2006 | Value: 110135
Year: 2007 | Value: 110522
Year: 2008 | Value: 110896
Year: 2009 | Value: 111254
Year: 2010 | Value: 111586
Year: 2011 | Value: 112079
Year: 2012 | Value: 112775
Year: 2013 | Value: 113487
Year: 2014 | Value: 114132
Year: 2015 | Value: 114676
Year: 2016 | Value: 115130
Year: 2017 | Value: 115438
Year: 2018 | Value: 115691
Year: 2019 | Value: 115981
Year: 2020 | Value: 116341
Year: 2021 | Value: 116688
Year: 2022 | Value: 116913
Year: 2023 | Value: 117081
Year: 2024 | Value: 117207
Remark: Grenada
Remark: Population, total
