Entity: OSS / SP.POP.TOTL
Year: 1960 | Value: 5297024
Year: 1961 | Value: 5374964
Year: 1962 | Value: 5476102
Year: 1963 | Value: 5578740
Year: 1964 | Value: 5680872
Year: 1965 | Value: 5779625
Year: 1966 | Value: 5872358
Year: 1967 | Value: 5959394
Year: 1968 | Value: 6047701
Year: 1969 | Value: 6141108
Year: 1970 | Value: 6240826
Year: 1971 | Value: 6348289
Year: 1972 | Value: 6460753
Year: 1973 | Value: 6573195
Year: 1974 | Value: 6679456
Year: 1975 | Value: 6790788
Year: 1976 | Value: 6913443
Year: 1977 | Value: 7044675
Year: 1978 | Value: 7176063
Year: 1979 | Value: 7309677
Year: 1980 | Value: 7444817
Year: 1981 | Value: 7577614
Year: 1982 | Value: 7711694
Year: 1983 | Value: 7843045
Year: 1984 | Value: 7975015
Year: 1985 | Value: 8118973
Year: 1986 | Value: 8271747
Year: 1987 | Value: 8429468
Year: 1988 | Value: 8592255
Year: 1989 | Value: 8765561
Year: 1990 | Value: 8949306
Year: 1991 | Value: 9131087
Year: 1992 | Value: 9201490
Year: 1993 | Value: 9249106
Year: 1994 | Value: 9328189
Year: 1995 | Value: 9389918
Year: 1996 | Value: 9493131
Year: 1997 | Value: 9618823
Year: 1998 | Value: 9746302
Year: 1999 | Value: 9758520
Year: 2000 | Value: 9788238
Year: 2001 | Value: 9961679
Year: 2002 | Value: 10136134
Year: 2003 | Value: 10269557
Year: 2004 | Value: 10371059
Year: 2005 | Value: 10479844
Year: 2006 | Value: 10601352
Year: 2007 | Value: 10730365
Year: 2008 | Value: 10862640
Year: 2009 | Value: 10989567
Year: 2010 | Value: 11112466
Year: 2011 | Value: 11226214
Year: 2012 | Value: 11346082
Year: 2013 | Value: 11466589
Year: 2014 | Value: 11591200
Year: 2015 | Value: 11722398
Year: 2016 | Value: 11851918
Year: 2017 | Value: 11989367
Year: 2018 | Value: 12135267
Year: 2019 | Value: 12281907
Year: 2020 | Value: 12417333
Year: 2021 | Value: 12541889
Year: 2022 | Value: 12699005
Year: 2023 | Value: 12822134
Year: 2024 | Value: 12931878
Remark: Other small states
Remark: Population, total
