Entity: OED / SP.POP.TOTL
Year: 1960 | Value: 809580211
Year: 1961 | Value: 820795966
Year: 1962 | Value: 832227425
Year: 1963 | Value: 843650775
Year: 1964 | Value: 855135046
Year: 1965 | Value: 866300939
Year: 1966 | Value: 877030636
Year: 1967 | Value: 887553832
Year: 1968 | Value: 897869478
Year: 1969 | Value: 908238681
Year: 1970 | Value: 918489195
Year: 1971 | Value: 930596384
Year: 1972 | Value: 941467841
Year: 1973 | Value: 952000973
Year: 1974 | Value: 962281658
Year: 1975 | Value: 972242932
Year: 1976 | Value: 981612322
Year: 1977 | Value: 990951247
Year: 1978 | Value: 1000355869
Year: 1979 | Value: 1009880602
Year: 1980 | Value: 1019332414
Year: 1981 | Value: 1028615740
Year: 1982 | Value: 1037419356
Year: 1983 | Value: 1046094679
Year: 1984 | Value: 1054395892
Year: 1985 | Value: 1062728299
Year: 1986 | Value: 1071222636
Year: 1987 | Value: 1079813087
Year: 1988 | Value: 1088587717
Year: 1989 | Value: 1097876374
Year: 1990 | Value: 1107695519
Year: 1991 | Value: 1118410105
Year: 1992 | Value: 1129039882
Year: 1993 | Value: 1139203498
Year: 1994 | Value: 1148779736
Year: 1995 | Value: 1158068699
Year: 1996 | Value: 1167149370
Year: 1997 | Value: 1176191803
Year: 1998 | Value: 1184928348
Year: 1999 | Value: 1193682861
Year: 2000 | Value: 1202226474
Year: 2001 | Value: 1211109104
Year: 2002 | Value: 1220101353
Year: 2003 | Value: 1229012217
Year: 2004 | Value: 1237896576
Year: 2005 | Value: 1246656490
Year: 2006 | Value: 1255746646
Year: 2007 | Value: 1264728255
Year: 2008 | Value: 1274711058
Year: 2009 | Value: 1283973216
Year: 2010 | Value: 1292701737
Year: 2011 | Value: 1299644689
Year: 2012 | Value: 1307733583
Year: 2013 | Value: 1315427979
Year: 2014 | Value: 1323459714
Year: 2015 | Value: 1331675197
Year: 2016 | Value: 1340142055
Year: 2017 | Value: 1348127258
Year: 2018 | Value: 1356470975
Year: 2019 | Value: 1364146219
Year: 2020 | Value: 1369310195
Year: 2021 | Value: 1371785073
Year: 2022 | Value: 1378565677
Year: 2023 | Value: 1387897706
Year: 2024 | Value: 1396877448
Remark: OECD members
Remark: Population, total
