Entity: ALB / SP.POP.TOTL
Year: 1960 | Value: 1608800
Year: 1961 | Value: 1659800
Year: 1962 | Value: 1711319
Year: 1963 | Value: 1762621
Year: 1964 | Value: 1814135
Year: 1965 | Value: 1864791
Year: 1966 | Value: 1914573
Year: 1967 | Value: 1965598
Year: 1968 | Value: 2022272
Year: 1969 | Value: 2081695
Year: 1970 | Value: 2135479
Year: 1971 | Value: 2187853
Year: 1972 | Value: 2243126
Year: 1973 | Value: 2296752
Year: 1974 | Value: 2350124
Year: 1975 | Value: 2404831
Year: 1976 | Value: 2458526
Year: 1977 | Value: 2513546
Year: 1978 | Value: 2566266
Year: 1979 | Value: 2617832
Year: 1980 | Value: 2671997
Year: 1981 | Value: 2726056
Year: 1982 | Value: 2784278
Year: 1983 | Value: 2843960
Year: 1984 | Value: 2904429
Year: 1985 | Value: 2964762
Year: 1986 | Value: 3022635
Year: 1987 | Value: 3083605
Year: 1988 | Value: 3142336
Year: 1989 | Value: 3227943
Year: 1990 | Value: 3286542
Year: 1991 | Value: 3266790
Year: 1992 | Value: 3247039
Year: 1993 | Value: 3227287
Year: 1994 | Value: 3207536
Year: 1995 | Value: 3187784
Year: 1996 | Value: 3168033
Year: 1997 | Value: 3148281
Year: 1998 | Value: 3128530
Year: 1999 | Value: 3108778
Year: 2000 | Value: 3089027
Year: 2001 | Value: 3060173
Year: 2002 | Value: 3051010
Year: 2003 | Value: 3039616
Year: 2004 | Value: 3026939
Year: 2005 | Value: 3011487
Year: 2006 | Value: 2992547
Year: 2007 | Value: 2970017
Year: 2008 | Value: 2947314
Year: 2009 | Value: 2927519
Year: 2010 | Value: 2913021
Year: 2011 | Value: 2905195
Year: 2012 | Value: 2860708
Year: 2013 | Value: 2816902
Year: 2014 | Value: 2773767
Year: 2015 | Value: 2731293
Year: 2016 | Value: 2689469
Year: 2017 | Value: 2648285
Year: 2018 | Value: 2607733
Year: 2019 | Value: 2567801
Year: 2020 | Value: 2528480
Year: 2021 | Value: 2489762
Year: 2022 | Value: 2451636
Year: 2023 | Value: 2414095
Year: 2024 | Value: 2377128
Remark: Albania
Remark: Population, total
