Entity: MKD / SP.POP.TOTL
Year: 1960 | Value: 1435059
Year: 1961 | Value: 1455171
Year: 1962 | Value: 1471745
Year: 1963 | Value: 1488737
Year: 1964 | Value: 1510900
Year: 1965 | Value: 1533466
Year: 1966 | Value: 1557349
Year: 1967 | Value: 1582492
Year: 1968 | Value: 1608930
Year: 1969 | Value: 1636345
Year: 1970 | Value: 1664208
Year: 1971 | Value: 1691216
Year: 1972 | Value: 1717395
Year: 1973 | Value: 1743816
Year: 1974 | Value: 1770545
Year: 1975 | Value: 1797972
Year: 1976 | Value: 1825830
Year: 1977 | Value: 1853138
Year: 1978 | Value: 1879847
Year: 1979 | Value: 1906523
Year: 1980 | Value: 1933038
Year: 1981 | Value: 1959065
Year: 1982 | Value: 1978956
Year: 1983 | Value: 1991901
Year: 1984 | Value: 2003399
Year: 1985 | Value: 2014331
Year: 1986 | Value: 2024732
Year: 1987 | Value: 2035157
Year: 1988 | Value: 2045737
Year: 1989 | Value: 2055649
Year: 1990 | Value: 2063689
Year: 1991 | Value: 2055994
Year: 1992 | Value: 2032523
Year: 1993 | Value: 2006854
Year: 1994 | Value: 1992666
Year: 1995 | Value: 1998534
Year: 1996 | Value: 2012553
Year: 1997 | Value: 1996869
Year: 1998 | Value: 2007523
Year: 1999 | Value: 2017142
Year: 2000 | Value: 2026350
Year: 2001 | Value: 2034882
Year: 2002 | Value: 2020157
Year: 2003 | Value: 2022725
Year: 2004 | Value: 2016186
Year: 2005 | Value: 2005330
Year: 2006 | Value: 1994287
Year: 2007 | Value: 1982933
Year: 2008 | Value: 1971493
Year: 2009 | Value: 1958782
Year: 2010 | Value: 1946298
Year: 2011 | Value: 1937398
Year: 2012 | Value: 1929821
Year: 2013 | Value: 1922716
Year: 2014 | Value: 1917557
Year: 2015 | Value: 1912430
Year: 2016 | Value: 1906313
Year: 2017 | Value: 1898657
Year: 2018 | Value: 1889051
Year: 2019 | Value: 1876262
Year: 2020 | Value: 1856124
Year: 2021 | Value: 1837114
Year: 2022 | Value: 1831712
Year: 2023 | Value: 1827816
Year: 2024 | Value: 1824359
Remark: North Macedonia
Remark: Population, total
