Entity: FCS / SP.POP.TOTL
Year: 1960 | Value: 244461631
Year: 1961 | Value: 249737371
Year: 1962 | Value: 255228141
Year: 1963 | Value: 260895002
Year: 1964 | Value: 266719458
Year: 1965 | Value: 272676376
Year: 1966 | Value: 278749755
Year: 1967 | Value: 284996969
Year: 1968 | Value: 291464978
Year: 1969 | Value: 298094137
Year: 1970 | Value: 304858040
Year: 1971 | Value: 311844505
Year: 1972 | Value: 319025117
Year: 1973 | Value: 326527998
Year: 1974 | Value: 334361510
Year: 1975 | Value: 342377291
Year: 1976 | Value: 350583131
Year: 1977 | Value: 358846637
Year: 1978 | Value: 367727720
Year: 1979 | Value: 376996705
Year: 1980 | Value: 385675261
Year: 1981 | Value: 393958598
Year: 1982 | Value: 402886924
Year: 1983 | Value: 412313057
Year: 1984 | Value: 422123181
Year: 1985 | Value: 432271865
Year: 1986 | Value: 442386405
Year: 1987 | Value: 452678880
Year: 1988 | Value: 463045466
Year: 1989 | Value: 473853393
Year: 1990 | Value: 486723712
Year: 1991 | Value: 497970454
Year: 1992 | Value: 510691966
Year: 1993 | Value: 524592905
Year: 1994 | Value: 539513196
Year: 1995 | Value: 554041514
Year: 1996 | Value: 566796346
Year: 1997 | Value: 579354582
Year: 1998 | Value: 592889780
Year: 1999 | Value: 607064140
Year: 2000 | Value: 621080692
Year: 2001 | Value: 635481068
Year: 2002 | Value: 651226758
Year: 2003 | Value: 667644273
Year: 2004 | Value: 684007365
Year: 2005 | Value: 700820603
Year: 2006 | Value: 717975893
Year: 2007 | Value: 735110300
Year: 2008 | Value: 753058095
Year: 2009 | Value: 772015937
Year: 2010 | Value: 791371804
Year: 2011 | Value: 810972272
Year: 2012 | Value: 831065598
Year: 2013 | Value: 851404936
Year: 2014 | Value: 871345375
Year: 2015 | Value: 890869511
Year: 2016 | Value: 910836458
Year: 2017 | Value: 931222867
Year: 2018 | Value: 951851595
Year: 2019 | Value: 973035228
Year: 2020 | Value: 994901090
Year: 2021 | Value: 1016906998
Year: 2022 | Value: 1036390026
Year: 2023 | Value: 1057033168
Year: 2024 | Value: 1081767572
Remark: Fragile and conflict affected situations
Remark: Population, total
