Entity: ZMB / SP.POP.TOTL
Year: 1960 | Value: 3153729
Year: 1961 | Value: 3254086
Year: 1962 | Value: 3358099
Year: 1963 | Value: 3465907
Year: 1964 | Value: 3577017
Year: 1965 | Value: 3692086
Year: 1966 | Value: 3812003
Year: 1967 | Value: 3936343
Year: 1968 | Value: 4065593
Year: 1969 | Value: 4197116
Year: 1970 | Value: 4321718
Year: 1971 | Value: 4442525
Year: 1972 | Value: 4569309
Year: 1973 | Value: 4702693
Year: 1974 | Value: 4842746
Year: 1975 | Value: 4990086
Year: 1976 | Value: 5143842
Year: 1977 | Value: 5302480
Year: 1978 | Value: 5465374
Year: 1979 | Value: 5631728
Year: 1980 | Value: 5802833
Year: 1981 | Value: 5983289
Year: 1982 | Value: 6178637
Year: 1983 | Value: 6381038
Year: 1984 | Value: 6580490
Year: 1985 | Value: 6780953
Year: 1986 | Value: 6986471
Year: 1987 | Value: 7191282
Year: 1988 | Value: 7391440
Year: 1989 | Value: 7589216
Year: 1990 | Value: 7786169
Year: 1991 | Value: 7981650
Year: 1992 | Value: 8176680
Year: 1993 | Value: 8373921
Year: 1994 | Value: 8576269
Year: 1995 | Value: 8785763
Year: 1996 | Value: 9004053
Year: 1997 | Value: 9237063
Year: 1998 | Value: 9482408
Year: 1999 | Value: 9740005
Year: 2000 | Value: 10017631
Year: 2001 | Value: 10325185
Year: 2002 | Value: 10647949
Year: 2003 | Value: 10983595
Year: 2004 | Value: 11338198
Year: 2005 | Value: 11718819
Year: 2006 | Value: 12129553
Year: 2007 | Value: 12565085
Year: 2008 | Value: 13021324
Year: 2009 | Value: 13490389
Year: 2010 | Value: 13965594
Year: 2011 | Value: 14437796
Year: 2012 | Value: 14913629
Year: 2013 | Value: 15398997
Year: 2014 | Value: 15895315
Year: 2015 | Value: 16399089
Year: 2016 | Value: 16914423
Year: 2017 | Value: 17441320
Year: 2018 | Value: 17973569
Year: 2019 | Value: 18513839
Year: 2020 | Value: 19059395
Year: 2021 | Value: 19603607
Year: 2022 | Value: 20152938
Year: 2023 | Value: 20723965
Year: 2024 | Value: 21314956
Remark: Zambia
Remark: Population, total
