Entity: Korea, Rep.
Year: 2000 | Value: 9.9217579706617
Year: 2001 | Value: 10.0719727295012
Year: 2002 | Value: 10.3782797747059
Year: 2003 | Value: 10.5024332706302
Year: 2004 | Value: 10.8037309775721
Year: 2005 | Value: 10.7084009751588
Year: 2006 | Value: 10.8117127664204
Year: 2007 | Value: 11.1126206303646
Year: 2008 | Value: 11.2602688410662
Year: 2009 | Value: 11.2836813865383
Year: 2010 | Value: 12.3690482033055
Year: 2011 | Value: 12.9702684429817
Year: 2012 | Value: 12.8528563619499
Year: 2013 | Value: 12.7317329769662
Year: 2014 | Value: 12.4261677995393
Year: 2015 | Value: 12.6198190502874
Year: 2016 | Value: 12.6677788190173
Year: 2017 | Value: 12.952944838832
Year: 2018 | Value: 13.1917269531809
Year: 2019 | Value: 12.6531894575046
Year: 2020 | Value: 11.9094442789339
Year: 2021 | Value: 12.3387268331673
Year: 2022 | Value: 11.8737409785064
