Entity: Brazil
Year: 2000 | Value: 2.00787868943563
Year: 2001 | Value: 1.9928207750233
Year: 2002 | Value: 1.96879630651915
Year: 2003 | Value: 1.91839410561756
Year: 2004 | Value: 1.99978275095698
Year: 2005 | Value: 1.99935674253319
Year: 2006 | Value: 2.00204169117872
Year: 2007 | Value: 2.08496718576573
Year: 2008 | Value: 2.16839391882541
Year: 2009 | Value: 2.00746250710986
Year: 2010 | Value: 2.27112813109879
Year: 2011 | Value: 2.37418967936326
Year: 2012 | Value: 2.52901988702936
Year: 2013 | Value: 2.63744450973958
Year: 2014 | Value: 2.7310345760982
Year: 2015 | Value: 2.56818858918394
Year: 2016 | Value: 2.37533549789759
Year: 2017 | Value: 2.41694955353585
Year: 2018 | Value: 2.28562350357953
Year: 2019 | Value: 2.25869881785082
Year: 2020 | Value: 2.1466461829
Year: 2021 | Value: 2.41580858865319
Year: 2022 | Value: 2.27889577215227
