Entity: Viet Nam
Year: 2000 | Value: 0.732762940866418
Year: 2001 | Value: 0.796360252330399
Year: 2002 | Value: 0.927761034143203
Year: 2003 | Value: 0.975900126008347
Year: 2004 | Value: 1.14424418007545
Year: 2005 | Value: 1.23999989986226
Year: 2006 | Value: 1.25547815833719
Year: 2007 | Value: 1.36684666856981
Year: 2008 | Value: 1.47684691804671
Year: 2009 | Value: 1.62877944346484
Year: 2010 | Value: 1.79273486369334
Year: 2011 | Value: 1.77200618969635
Year: 2012 | Value: 1.74532095481779
Year: 2013 | Value: 1.80141667663283
Year: 2014 | Value: 1.95182181139621
Year: 2015 | Value: 2.16344818077591
Year: 2016 | Value: 2.38090235568537
Year: 2017 | Value: 2.40871172027244
Year: 2018 | Value: 2.93126723532271
Year: 2019 | Value: 3.46316479458409
Year: 2020 | Value: 3.5515331687432
Year: 2021 | Value: 3.39788716841419
Year: 2022 | Value: 3.45101965872917
