Entity: Nigeria
Year: 2000 | Value: 2.67439784501828
Year: 2001 | Value: 2.7163954653619
Year: 2002 | Value: 2.74147056608815
Year: 2003 | Value: 2.75673506428828
Year: 2004 | Value: 2.77053967849452
Year: 2005 | Value: 2.76883385211034
Year: 2006 | Value: 2.76124698861505
Year: 2007 | Value: 2.77180099910734
Year: 2008 | Value: 2.78453384410814
Year: 2009 | Value: 2.78730820935027
Year: 2010 | Value: 2.795149361277
Year: 2011 | Value: 2.80278519998649
Year: 2012 | Value: 2.77422930277333
Year: 2013 | Value: 2.71468991073627
Year: 2014 | Value: 2.64221399374699
Year: 2015 | Value: 2.53617348598208
Year: 2016 | Value: 2.47183239057048
Year: 2017 | Value: 2.43170936923065
Year: 2018 | Value: 2.31217263003389
Year: 2019 | Value: 2.1944019229433
Year: 2020 | Value: 2.13029714344341
Year: 2021 | Value: 2.09618685225463
Year: 2022 | Value: 2.09281687128387
