Entity: Turkiye
Year: 2000 | Value: 1.28297648712556
Year: 2001 | Value: 1.2442785656482
Year: 2002 | Value: 1.20587153637377
Year: 2003 | Value: 1.16094416683032
Year: 2004 | Value: 1.11548254617054
Year: 2005 | Value: 1.06864181704433
Year: 2006 | Value: 1.02715519431982
Year: 2007 | Value: 0.160856263475951
Year: 2008 | Value: 1.26560336535681
Year: 2009 | Value: 1.3803027157145
Year: 2010 | Value: 1.51943093763293
Year: 2011 | Value: 1.46777416449143
Year: 2012 | Value: 1.27471801981307
Year: 2013 | Value: 1.28441474668
Year: 2014 | Value: 1.3490889002021
Year: 2015 | Value: 1.33411577030414
Year: 2016 | Value: 1.34542593504869
Year: 2017 | Value: 1.29675571220462
Year: 2018 | Value: 1.35360298648434
Year: 2019 | Value: 1.42969688109789
Year: 2020 | Value: 0.970386031353162
Year: 2021 | Value: 0.910444902564511
Year: 2022 | Value: 0.984586244469359
