Entity: FRO / SP.POP.TOTL
Year: 1960 | Value: 34127
Year: 1961 | Value: 34557
Year: 1962 | Value: 34963
Year: 1963 | Value: 35391
Year: 1964 | Value: 35847
Year: 1965 | Value: 36347
Year: 1966 | Value: 36816
Year: 1967 | Value: 37202
Year: 1968 | Value: 37560
Year: 1969 | Value: 37907
Year: 1970 | Value: 38269
Year: 1971 | Value: 38703
Year: 1972 | Value: 39172
Year: 1973 | Value: 39636
Year: 1974 | Value: 40106
Year: 1975 | Value: 40568
Year: 1976 | Value: 41020
Year: 1977 | Value: 41468
Year: 1978 | Value: 41968
Year: 1979 | Value: 42521
Year: 1980 | Value: 43072
Year: 1981 | Value: 43626
Year: 1982 | Value: 44171
Year: 1983 | Value: 44670
Year: 1984 | Value: 45141
Year: 1985 | Value: 45707
Year: 1986 | Value: 46131
Year: 1987 | Value: 46701
Year: 1988 | Value: 47355
Year: 1989 | Value: 47958
Year: 1990 | Value: 47740
Year: 1991 | Value: 47447
Year: 1992 | Value: 47287
Year: 1993 | Value: 46474
Year: 1994 | Value: 44695
Year: 1995 | Value: 43611
Year: 1996 | Value: 43581
Year: 1997 | Value: 44132
Year: 1998 | Value: 44674
Year: 1999 | Value: 45146
Year: 2000 | Value: 45754
Year: 2001 | Value: 46635
Year: 2002 | Value: 47335
Year: 2003 | Value: 48032
Year: 2004 | Value: 48384
Year: 2005 | Value: 48359
Year: 2006 | Value: 48335
Year: 2007 | Value: 48378
Year: 2008 | Value: 48547
Year: 2009 | Value: 48791
Year: 2010 | Value: 48657
Year: 2011 | Value: 48543
Year: 2012 | Value: 48291
Year: 2013 | Value: 48246
Year: 2014 | Value: 48428
Year: 2015 | Value: 48899
Year: 2016 | Value: 49464
Year: 2017 | Value: 50180
Year: 2018 | Value: 50996
Year: 2019 | Value: 51792
Year: 2020 | Value: 52565
Year: 2021 | Value: 53296
Year: 2022 | Value: 53912
Year: 2023 | Value: 54414
Year: 2024 | Value: 54681
Remark: Faroe Islands
Remark: Population, total
