Entity: BMU / SP.POP.TOTL
Year: 1960 | Value: 42208
Year: 1961 | Value: 43123
Year: 1962 | Value: 44239
Year: 1963 | Value: 45340
Year: 1964 | Value: 46410
Year: 1965 | Value: 47461
Year: 1966 | Value: 48534
Year: 1967 | Value: 49514
Year: 1968 | Value: 50404
Year: 1969 | Value: 51306
Year: 1970 | Value: 52124
Year: 1971 | Value: 52607
Year: 1972 | Value: 52803
Year: 1973 | Value: 52946
Year: 1974 | Value: 53056
Year: 1975 | Value: 53129
Year: 1976 | Value: 53210
Year: 1977 | Value: 53322
Year: 1978 | Value: 53431
Year: 1979 | Value: 53517
Year: 1980 | Value: 53673
Year: 1981 | Value: 53997
Year: 1982 | Value: 54387
Year: 1983 | Value: 54777
Year: 1984 | Value: 55169
Year: 1985 | Value: 55547
Year: 1986 | Value: 55889
Year: 1987 | Value: 56265
Year: 1988 | Value: 56699
Year: 1989 | Value: 57129
Year: 1990 | Value: 57559
Year: 1991 | Value: 57984
Year: 1992 | Value: 58407
Year: 1993 | Value: 58816
Year: 1994 | Value: 59194
Year: 1995 | Value: 59526
Year: 1996 | Value: 59813
Year: 1997 | Value: 60177
Year: 1998 | Value: 60639
Year: 1999 | Value: 61124
Year: 2000 | Value: 61550
Year: 2001 | Value: 61867
Year: 2002 | Value: 62142
Year: 2003 | Value: 62386
Year: 2004 | Value: 62555
Year: 2005 | Value: 62711
Year: 2006 | Value: 62834
Year: 2007 | Value: 63010
Year: 2008 | Value: 63300
Year: 2009 | Value: 63565
Year: 2010 | Value: 63725
Year: 2011 | Value: 63733
Year: 2012 | Value: 63646
Year: 2013 | Value: 63574
Year: 2014 | Value: 63529
Year: 2015 | Value: 63464
Year: 2016 | Value: 63449
Year: 2017 | Value: 63578
Year: 2018 | Value: 63831
Year: 2019 | Value: 64107
Year: 2020 | Value: 64382
Year: 2021 | Value: 64648
Year: 2022 | Value: 64749
Year: 2023 | Value: 64698
Year: 2024 | Value: 64636
Remark: Bermuda
Remark: Population, total
