Entity: BEN / SP.POP.TOTL
Year: 1960 | Value: 2517286
Year: 1961 | Value: 2559223
Year: 1962 | Value: 2604659
Year: 1963 | Value: 2652908
Year: 1964 | Value: 2704003
Year: 1965 | Value: 2757936
Year: 1966 | Value: 2814317
Year: 1967 | Value: 2872997
Year: 1968 | Value: 2934257
Year: 1969 | Value: 2998222
Year: 1970 | Value: 3065057
Year: 1971 | Value: 3134767
Year: 1972 | Value: 3207543
Year: 1973 | Value: 3283496
Year: 1974 | Value: 3362633
Year: 1975 | Value: 3445407
Year: 1976 | Value: 3532196
Year: 1977 | Value: 3623202
Year: 1978 | Value: 3718305
Year: 1979 | Value: 3818528
Year: 1980 | Value: 3925251
Year: 1981 | Value: 4038307
Year: 1982 | Value: 4156596
Year: 1983 | Value: 4278978
Year: 1984 | Value: 4405895
Year: 1985 | Value: 4538012
Year: 1986 | Value: 4675420
Year: 1987 | Value: 4818486
Year: 1988 | Value: 4967341
Year: 1989 | Value: 5121657
Year: 1990 | Value: 5281479
Year: 1991 | Value: 5446932
Year: 1992 | Value: 5617844
Year: 1993 | Value: 5872706
Year: 1994 | Value: 6096506
Year: 1995 | Value: 6226773
Year: 1996 | Value: 6391858
Year: 1997 | Value: 6583365
Year: 1998 | Value: 6789489
Year: 1999 | Value: 7002818
Year: 2000 | Value: 7221619
Year: 2001 | Value: 7445596
Year: 2002 | Value: 7675426
Year: 2003 | Value: 7913070
Year: 2004 | Value: 8159094
Year: 2005 | Value: 8426144
Year: 2006 | Value: 8693242
Year: 2007 | Value: 8953969
Year: 2008 | Value: 9228466
Year: 2009 | Value: 9509423
Year: 2010 | Value: 9797484
Year: 2011 | Value: 10093623
Year: 2012 | Value: 10397657
Year: 2013 | Value: 10708834
Year: 2014 | Value: 11030004
Year: 2015 | Value: 11360681
Year: 2016 | Value: 11697842
Year: 2017 | Value: 12039780
Year: 2018 | Value: 12383347
Year: 2019 | Value: 12726755
Year: 2020 | Value: 13070169
Year: 2021 | Value: 13413417
Year: 2022 | Value: 13759501
Year: 2023 | Value: 14111034
Year: 2024 | Value: 14462724
Remark: Benin
Remark: Population, total
