Entity: PER / SP.POP.TOTL
Year: 1960 | Value: 10174127
Year: 1961 | Value: 10475123
Year: 1962 | Value: 10784612
Year: 1963 | Value: 11102099
Year: 1964 | Value: 11427978
Year: 1965 | Value: 11761085
Year: 1966 | Value: 12101297
Year: 1967 | Value: 12448814
Year: 1968 | Value: 12803993
Year: 1969 | Value: 13166767
Year: 1970 | Value: 13501237
Year: 1971 | Value: 13838067
Year: 1972 | Value: 14210147
Year: 1973 | Value: 14582867
Year: 1974 | Value: 14956552
Year: 1975 | Value: 15333957
Year: 1976 | Value: 15716809
Year: 1977 | Value: 16109806
Year: 1978 | Value: 16516059
Year: 1979 | Value: 16933139
Year: 1980 | Value: 17360949
Year: 1981 | Value: 17798805
Year: 1982 | Value: 18246503
Year: 1983 | Value: 18705957
Year: 1984 | Value: 19174716
Year: 1985 | Value: 19648204
Year: 1986 | Value: 20117122
Year: 1987 | Value: 20582320
Year: 1988 | Value: 21054702
Year: 1989 | Value: 21532589
Year: 1990 | Value: 22014771
Year: 1991 | Value: 22483775
Year: 1992 | Value: 22946340
Year: 1993 | Value: 23413783
Year: 1994 | Value: 23881493
Year: 1995 | Value: 24348919
Year: 1996 | Value: 24811171
Year: 1997 | Value: 25274147
Year: 1998 | Value: 25738095
Year: 1999 | Value: 26186504
Year: 2000 | Value: 26598331
Year: 2001 | Value: 26964601
Year: 2002 | Value: 27288217
Year: 2003 | Value: 27580490
Year: 2004 | Value: 27852190
Year: 2005 | Value: 28101180
Year: 2006 | Value: 28324491
Year: 2007 | Value: 28530699
Year: 2008 | Value: 28719041
Year: 2009 | Value: 28896811
Year: 2010 | Value: 29086019
Year: 2011 | Value: 29304086
Year: 2012 | Value: 29550366
Year: 2013 | Value: 29817919
Year: 2014 | Value: 30115826
Year: 2015 | Value: 30457600
Year: 2016 | Value: 30866494
Year: 2017 | Value: 31324637
Year: 2018 | Value: 31897584
Year: 2019 | Value: 32449303
Year: 2020 | Value: 32838579
Year: 2021 | Value: 33155882
Year: 2022 | Value: 33475438
Year: 2023 | Value: 33845617
Year: 2024 | Value: 34217848
Remark: Peru
Remark: Population, total
