Entity: DEU / SP.POP.TOTL
Year: 1960 | Value: 72814900
Year: 1961 | Value: 73377632
Year: 1962 | Value: 74025784
Year: 1963 | Value: 74714353
Year: 1964 | Value: 75318337
Year: 1965 | Value: 75963695
Year: 1966 | Value: 76600311
Year: 1967 | Value: 76951336
Year: 1968 | Value: 77294314
Year: 1969 | Value: 77909682
Year: 1970 | Value: 78169289
Year: 1971 | Value: 78312842
Year: 1972 | Value: 78688452
Year: 1973 | Value: 78936666
Year: 1974 | Value: 78967433
Year: 1975 | Value: 78673554
Year: 1976 | Value: 78336950
Year: 1977 | Value: 78159814
Year: 1978 | Value: 78091820
Year: 1979 | Value: 78126350
Year: 1980 | Value: 78288576
Year: 1981 | Value: 78407907
Year: 1982 | Value: 78333366
Year: 1983 | Value: 78128282
Year: 1984 | Value: 77858685
Year: 1985 | Value: 77684873
Year: 1986 | Value: 77720436
Year: 1987 | Value: 77839920
Year: 1988 | Value: 78144619
Year: 1989 | Value: 78751283
Year: 1990 | Value: 79433029
Year: 1991 | Value: 80013896
Year: 1992 | Value: 80624598
Year: 1993 | Value: 81156363
Year: 1994 | Value: 81438348
Year: 1995 | Value: 81678051
Year: 1996 | Value: 81914831
Year: 1997 | Value: 82034771
Year: 1998 | Value: 82047195
Year: 1999 | Value: 82100243
Year: 2000 | Value: 82211508
Year: 2001 | Value: 82349925
Year: 2002 | Value: 82488495
Year: 2003 | Value: 82534176
Year: 2004 | Value: 82516260
Year: 2005 | Value: 82469422
Year: 2006 | Value: 82376451
Year: 2007 | Value: 82266372
Year: 2008 | Value: 82110097
Year: 2009 | Value: 81902307
Year: 2010 | Value: 81776930
Year: 2011 | Value: 80274983
Year: 2012 | Value: 80425823
Year: 2013 | Value: 80645605
Year: 2014 | Value: 80982500
Year: 2015 | Value: 81686611
Year: 2016 | Value: 82348669
Year: 2017 | Value: 82657002
Year: 2018 | Value: 82905782
Year: 2019 | Value: 83092962
Year: 2020 | Value: 83160871
Year: 2021 | Value: 83196078
Year: 2022 | Value: 83177813
Year: 2023 | Value: 83287273
Year: 2024 | Value: 83516593
Remark: Germany
Remark: Population, total
