Entity: CAF / SP.POP.TOTL
Year: 1960 | Value: 1702346
Year: 1961 | Value: 1734580
Year: 1962 | Value: 1768115
Year: 1963 | Value: 1803063
Year: 1964 | Value: 1839583
Year: 1965 | Value: 1877854
Year: 1966 | Value: 1918082
Year: 1967 | Value: 1960444
Year: 1968 | Value: 2005100
Year: 1969 | Value: 2051515
Year: 1970 | Value: 2097505
Year: 1971 | Value: 2141450
Year: 1972 | Value: 2183769
Year: 1973 | Value: 2226008
Year: 1974 | Value: 2269338
Year: 1975 | Value: 2313916
Year: 1976 | Value: 2348566
Year: 1977 | Value: 2372930
Year: 1978 | Value: 2397961
Year: 1979 | Value: 2423794
Year: 1980 | Value: 2450535
Year: 1981 | Value: 2478402
Year: 1982 | Value: 2507375
Year: 1983 | Value: 2537399
Year: 1984 | Value: 2568610
Year: 1985 | Value: 2600932
Year: 1986 | Value: 2634258
Year: 1987 | Value: 2669155
Year: 1988 | Value: 2713965
Year: 1989 | Value: 2783970
Year: 1990 | Value: 2871910
Year: 1991 | Value: 2963191
Year: 1992 | Value: 3058831
Year: 1993 | Value: 3157839
Year: 1994 | Value: 3257954
Year: 1995 | Value: 3348052
Year: 1996 | Value: 3435965
Year: 1997 | Value: 3531700
Year: 1998 | Value: 3628827
Year: 1999 | Value: 3729450
Year: 2000 | Value: 3833416
Year: 2001 | Value: 3919487
Year: 2002 | Value: 4006077
Year: 2003 | Value: 4103086
Year: 2004 | Value: 4192826
Year: 2005 | Value: 4288810
Year: 2006 | Value: 4377579
Year: 2007 | Value: 4462770
Year: 2008 | Value: 4558984
Year: 2009 | Value: 4529047
Year: 2010 | Value: 4492995
Year: 2011 | Value: 4565021
Year: 2012 | Value: 4610848
Year: 2013 | Value: 4642419
Year: 2014 | Value: 4623182
Year: 2015 | Value: 4629320
Year: 2016 | Value: 4713663
Year: 2017 | Value: 4793511
Year: 2018 | Value: 4878657
Year: 2019 | Value: 4944703
Year: 2020 | Value: 5026628
Year: 2021 | Value: 5112100
Year: 2022 | Value: 5098039
Year: 2023 | Value: 5152421
Year: 2024 | Value: 5330690
Remark: Central African Republic
Remark: Population, total
