Entity: LBR / SP.POP.TOTL
Year: 1960 | Value: 1139522
Year: 1961 | Value: 1167717
Year: 1962 | Value: 1197039
Year: 1963 | Value: 1227414
Year: 1964 | Value: 1258745
Year: 1965 | Value: 1291156
Year: 1966 | Value: 1324383
Year: 1967 | Value: 1358435
Year: 1968 | Value: 1393530
Year: 1969 | Value: 1429605
Year: 1970 | Value: 1466676
Year: 1971 | Value: 1504077
Year: 1972 | Value: 1542670
Year: 1973 | Value: 1583588
Year: 1974 | Value: 1626362
Year: 1975 | Value: 1670913
Year: 1976 | Value: 1717060
Year: 1977 | Value: 1766019
Year: 1978 | Value: 1818247
Year: 1979 | Value: 1872713
Year: 1980 | Value: 1929253
Year: 1981 | Value: 1986867
Year: 1982 | Value: 2045073
Year: 1983 | Value: 2107113
Year: 1984 | Value: 2173312
Year: 1985 | Value: 2240539
Year: 1986 | Value: 2308511
Year: 1987 | Value: 2377229
Year: 1988 | Value: 2446941
Year: 1989 | Value: 2517858
Year: 1990 | Value: 2223667
Year: 1991 | Value: 1956518
Year: 1992 | Value: 2072461
Year: 1993 | Value: 2155126
Year: 1994 | Value: 2149928
Year: 1995 | Value: 2169162
Year: 1996 | Value: 2232289
Year: 1997 | Value: 2412989
Year: 1998 | Value: 2670124
Year: 1999 | Value: 2821684
Year: 2000 | Value: 2928117
Year: 2001 | Value: 3015338
Year: 2002 | Value: 3094782
Year: 2003 | Value: 3119532
Year: 2004 | Value: 3156892
Year: 2005 | Value: 3301015
Year: 2006 | Value: 3490787
Year: 2007 | Value: 3669050
Year: 2008 | Value: 3821003
Year: 2009 | Value: 3943028
Year: 2010 | Value: 4058890
Year: 2011 | Value: 4221178
Year: 2012 | Value: 4373043
Year: 2013 | Value: 4470239
Year: 2014 | Value: 4564293
Year: 2015 | Value: 4659431
Year: 2016 | Value: 4755608
Year: 2017 | Value: 4848925
Year: 2018 | Value: 4944726
Year: 2019 | Value: 5043721
Year: 2020 | Value: 5149463
Year: 2021 | Value: 5259323
Year: 2022 | Value: 5373294
Year: 2023 | Value: 5493031
Year: 2024 | Value: 5612817
Remark: Liberia
Remark: Population, total
