Entity: ZWE / SP.POP.TOTL
Year: 1960 | Value: 3809389
Year: 1961 | Value: 3930401
Year: 1962 | Value: 4055959
Year: 1963 | Value: 4185877
Year: 1964 | Value: 4320006
Year: 1965 | Value: 4458462
Year: 1966 | Value: 4601217
Year: 1967 | Value: 4748307
Year: 1968 | Value: 4900440
Year: 1969 | Value: 5058181
Year: 1970 | Value: 5215918
Year: 1971 | Value: 5374712
Year: 1972 | Value: 5542445
Year: 1973 | Value: 5720404
Year: 1974 | Value: 5908328
Year: 1975 | Value: 6098658
Year: 1976 | Value: 6287105
Year: 1977 | Value: 6449512
Year: 1978 | Value: 6543575
Year: 1979 | Value: 6647556
Year: 1980 | Value: 7041303
Year: 1981 | Value: 7498635
Year: 1982 | Value: 7796496
Year: 1983 | Value: 8098404
Year: 1984 | Value: 8391488
Year: 1985 | Value: 8686813
Year: 1986 | Value: 8982578
Year: 1987 | Value: 9284644
Year: 1988 | Value: 9583094
Year: 1989 | Value: 9864798
Year: 1990 | Value: 10137281
Year: 1991 | Value: 10404816
Year: 1992 | Value: 10702700
Year: 1993 | Value: 10860288
Year: 1994 | Value: 10873148
Year: 1995 | Value: 10974599
Year: 1996 | Value: 11158360
Year: 1997 | Value: 11369827
Year: 1998 | Value: 11594297
Year: 1999 | Value: 11783458
Year: 2000 | Value: 11892055
Year: 2001 | Value: 11971901
Year: 2002 | Value: 12087653
Year: 2003 | Value: 12232323
Year: 2004 | Value: 12365896
Year: 2005 | Value: 12483432
Year: 2006 | Value: 12636445
Year: 2007 | Value: 12804058
Year: 2008 | Value: 12959149
Year: 2009 | Value: 13142790
Year: 2010 | Value: 13356548
Year: 2011 | Value: 13595424
Year: 2012 | Value: 13817887
Year: 2013 | Value: 14013808
Year: 2014 | Value: 14207359
Year: 2015 | Value: 14399013
Year: 2016 | Value: 14600294
Year: 2017 | Value: 14812482
Year: 2018 | Value: 15034452
Year: 2019 | Value: 15271368
Year: 2020 | Value: 15526888
Year: 2021 | Value: 15797210
Year: 2022 | Value: 16069056
Year: 2023 | Value: 16340822
Year: 2024 | Value: 16634373
Remark: Zimbabwe
Remark: Population, total
