Entity: NRU / SP.POP.TOTL
Year: 1960 | Value: 4607
Year: 1961 | Value: 4774
Year: 1962 | Value: 4979
Year: 1963 | Value: 5226
Year: 1964 | Value: 5515
Year: 1965 | Value: 5832
Year: 1966 | Value: 6043
Year: 1967 | Value: 6135
Year: 1968 | Value: 6328
Year: 1969 | Value: 6581
Year: 1970 | Value: 6710
Year: 1971 | Value: 6762
Year: 1972 | Value: 6812
Year: 1973 | Value: 6866
Year: 1974 | Value: 6923
Year: 1975 | Value: 6987
Year: 1976 | Value: 7064
Year: 1977 | Value: 7163
Year: 1978 | Value: 7298
Year: 1979 | Value: 7468
Year: 1980 | Value: 7649
Year: 1981 | Value: 7839
Year: 1982 | Value: 8040
Year: 1983 | Value: 8216
Year: 1984 | Value: 8377
Year: 1985 | Value: 8551
Year: 1986 | Value: 8742
Year: 1987 | Value: 8946
Year: 1988 | Value: 9165
Year: 1989 | Value: 9390
Year: 1990 | Value: 9622
Year: 1991 | Value: 9850
Year: 1992 | Value: 10021
Year: 1993 | Value: 10102
Year: 1994 | Value: 10137
Year: 1995 | Value: 10165
Year: 1996 | Value: 10183
Year: 1997 | Value: 10197
Year: 1998 | Value: 10198
Year: 1999 | Value: 10187
Year: 2000 | Value: 10168
Year: 2001 | Value: 10130
Year: 2002 | Value: 10082
Year: 2003 | Value: 10059
Year: 2004 | Value: 10060
Year: 2005 | Value: 10049
Year: 2006 | Value: 10034
Year: 2007 | Value: 10020
Year: 2008 | Value: 10009
Year: 2009 | Value: 10016
Year: 2010 | Value: 10043
Year: 2011 | Value: 10098
Year: 2012 | Value: 10267
Year: 2013 | Value: 10517
Year: 2014 | Value: 10742
Year: 2015 | Value: 10954
Year: 2016 | Value: 11150
Year: 2017 | Value: 11324
Year: 2018 | Value: 11477
Year: 2019 | Value: 11587
Year: 2020 | Value: 11643
Year: 2021 | Value: 11709
Year: 2022 | Value: 11801
Year: 2023 | Value: 11875
Year: 2024 | Value: 11947
Remark: Nauru
Remark: Population, total
