Entity: HTI / SP.POP.TOTL
Year: 1960 | Value: 3858443
Year: 1961 | Value: 3929030
Year: 1962 | Value: 4001575
Year: 1963 | Value: 4073068
Year: 1964 | Value: 4146244
Year: 1965 | Value: 4223820
Year: 1966 | Value: 4302639
Year: 1967 | Value: 4382999
Year: 1968 | Value: 4465328
Year: 1969 | Value: 4549334
Year: 1970 | Value: 4635124
Year: 1971 | Value: 4723244
Year: 1972 | Value: 4813868
Year: 1973 | Value: 4906743
Year: 1974 | Value: 5001796
Year: 1975 | Value: 5099086
Year: 1976 | Value: 5198357
Year: 1977 | Value: 5299476
Year: 1978 | Value: 5402580
Year: 1979 | Value: 5507590
Year: 1980 | Value: 5614493
Year: 1981 | Value: 5723725
Year: 1982 | Value: 5835937
Year: 1983 | Value: 5951096
Year: 1984 | Value: 6069230
Year: 1985 | Value: 6190862
Year: 1986 | Value: 6316122
Year: 1987 | Value: 6445123
Year: 1988 | Value: 6578145
Year: 1989 | Value: 6714730
Year: 1990 | Value: 6854441
Year: 1991 | Value: 6995450
Year: 1992 | Value: 7136571
Year: 1993 | Value: 7278181
Year: 1994 | Value: 7419771
Year: 1995 | Value: 7562546
Year: 1996 | Value: 7707557
Year: 1997 | Value: 7854298
Year: 1998 | Value: 8002143
Year: 1999 | Value: 8151296
Year: 2000 | Value: 8303151
Year: 2001 | Value: 8455918
Year: 2002 | Value: 8607641
Year: 2003 | Value: 8759912
Year: 2004 | Value: 8910263
Year: 2005 | Value: 9061273
Year: 2006 | Value: 9216562
Year: 2007 | Value: 9373296
Year: 2008 | Value: 9530774
Year: 2009 | Value: 9689581
Year: 2010 | Value: 9803294
Year: 2011 | Value: 9914904
Year: 2012 | Value: 10069771
Year: 2013 | Value: 10222362
Year: 2014 | Value: 10373235
Year: 2015 | Value: 10523242
Year: 2016 | Value: 10671457
Year: 2017 | Value: 10817754
Year: 2018 | Value: 10962362
Year: 2019 | Value: 11105163
Year: 2020 | Value: 11243848
Year: 2021 | Value: 11374586
Year: 2022 | Value: 11503606
Year: 2023 | Value: 11637398
Year: 2024 | Value: 11772557
Remark: Haiti
Remark: Population, total
