Entity: HIC / SP.POP.TOTL
Year: 1960 | Value: 908257300
Year: 1961 | Value: 919449343
Year: 1962 | Value: 930832910
Year: 1963 | Value: 942141564
Year: 1964 | Value: 953477851
Year: 1965 | Value: 964459737
Year: 1966 | Value: 974216640
Year: 1967 | Value: 983598764
Year: 1968 | Value: 992893702
Year: 1969 | Value: 1002359669
Year: 1970 | Value: 1011801481
Year: 1971 | Value: 1022885127
Year: 1972 | Value: 1032671994
Year: 1973 | Value: 1042151537
Year: 1974 | Value: 1051440406
Year: 1975 | Value: 1060472674
Year: 1976 | Value: 1069129380
Year: 1977 | Value: 1077728159
Year: 1978 | Value: 1086358633
Year: 1979 | Value: 1095282220
Year: 1980 | Value: 1104005914
Year: 1981 | Value: 1112639701
Year: 1982 | Value: 1120660141
Year: 1983 | Value: 1128262810
Year: 1984 | Value: 1135690050
Year: 1985 | Value: 1143179465
Year: 1986 | Value: 1150810379
Year: 1987 | Value: 1158607400
Year: 1988 | Value: 1166527684
Year: 1989 | Value: 1174766407
Year: 1990 | Value: 1182189938
Year: 1991 | Value: 1190620652
Year: 1992 | Value: 1199265190
Year: 1993 | Value: 1207321942
Year: 1994 | Value: 1214865411
Year: 1995 | Value: 1222056186
Year: 1996 | Value: 1229173348
Year: 1997 | Value: 1236130405
Year: 1998 | Value: 1242897726
Year: 1999 | Value: 1249367360
Year: 2000 | Value: 1255696330
Year: 2001 | Value: 1262093741
Year: 2002 | Value: 1268559564
Year: 2003 | Value: 1275200577
Year: 2004 | Value: 1282168195
Year: 2005 | Value: 1289125857
Year: 2006 | Value: 1296891494
Year: 2007 | Value: 1305578110
Year: 2008 | Value: 1314671040
Year: 2009 | Value: 1322754052
Year: 2010 | Value: 1328657754
Year: 2011 | Value: 1334557663
Year: 2012 | Value: 1342428400
Year: 2013 | Value: 1350149879
Year: 2014 | Value: 1357496263
Year: 2015 | Value: 1366013614
Year: 2016 | Value: 1374284415
Year: 2017 | Value: 1380319892
Year: 2018 | Value: 1385103279
Year: 2019 | Value: 1389770301
Year: 2020 | Value: 1393472875
Year: 2021 | Value: 1391814501
Year: 2022 | Value: 1398001706
Year: 2023 | Value: 1408190184
Year: 2024 | Value: 1417841927
Remark: High income
Remark: Population, total
