Entity: SOM / SH.STA.MMRT
Year: 1985 | Value: 1465
Year: 1986 | Value: 1452
Year: 1987 | Value: 1393
Year: 1988 | Value: 1423
Year: 1989 | Value: 1395
Year: 1990 | Value: 1358
Year: 1991 | Value: 1431
Year: 1992 | Value: 1339
Year: 1993 | Value: 1195
Year: 1994 | Value: 1254
Year: 1995 | Value: 1210
Year: 1996 | Value: 1225
Year: 1997 | Value: 1206
Year: 1998 | Value: 1177
Year: 1999 | Value: 1170
Year: 2000 | Value: 1150
Year: 2001 | Value: 1129
Year: 2002 | Value: 1121
Year: 2003 | Value: 1111
Year: 2004 | Value: 1104
Year: 2005 | Value: 1086
Year: 2006 | Value: 1085
Year: 2007 | Value: 1074
Year: 2008 | Value: 1035
Year: 2009 | Value: 995
Year: 2010 | Value: 1062
Year: 2011 | Value: 972
Year: 2012 | Value: 894
Year: 2013 | Value: 855
Year: 2014 | Value: 816
Year: 2015 | Value: 784
Year: 2016 | Value: 754
Year: 2017 | Value: 716
Year: 2018 | Value: 727
Year: 2019 | Value: 656
Year: 2020 | Value: 655
Year: 2021 | Value: 726
Year: 2022 | Value: 622
Year: 2023 | Value: 563
Remark: Somalia, Fed. Rep.
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
