Entity: LCA / SH.STA.MMRT
Year: 1985 | Value: 56
Year: 1986 | Value: 57
Year: 1987 | Value: 69
Year: 1988 | Value: 71
Year: 1989 | Value: 66
Year: 1990 | Value: 72
Year: 1991 | Value: 71
Year: 1992 | Value: 58
Year: 1993 | Value: 58
Year: 1994 | Value: 60
Year: 1995 | Value: 60
Year: 1996 | Value: 72
Year: 1997 | Value: 89
Year: 1998 | Value: 89
Year: 1999 | Value: 88
Year: 2000 | Value: 83
Year: 2001 | Value: 70
Year: 2002 | Value: 62
Year: 2003 | Value: 56
Year: 2004 | Value: 54
Year: 2005 | Value: 55
Year: 2006 | Value: 53
Year: 2007 | Value: 55
Year: 2008 | Value: 55
Year: 2009 | Value: 51
Year: 2010 | Value: 56
Year: 2011 | Value: 56
Year: 2012 | Value: 55
Year: 2013 | Value: 53
Year: 2014 | Value: 49
Year: 2015 | Value: 46
Year: 2016 | Value: 46
Year: 2017 | Value: 43
Year: 2018 | Value: 41
Year: 2019 | Value: 43
Year: 2020 | Value: 43
Year: 2021 | Value: 94
Year: 2022 | Value: 48
Year: 2023 | Value: 44
Remark: St. Lucia
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
