Record: Papua New Guinea (PNG), indicator=Total_Population
Papua New Guinea observed population_year2000=5537064 persons.
Papua New Guinea observed population_year2001=5728435 persons.
Papua New Guinea observed population_year2002=5924003 persons.
Papua New Guinea observed population_year2003=6123997 persons.
Papua New Guinea observed population_year2004=6328041 persons.
Papua New Guinea observed population_year2005=6535905 persons.
Papua New Guinea observed population_year2006=6747720 persons.
Papua New Guinea observed population_year2007=6963345 persons.
Papua New Guinea observed population_year2008=7183002 persons.
Papua New Guinea observed population_year2009=7406438 persons.
Papua New Guinea observed population_year2010=7633523 persons.
Papua New Guinea observed population_year2011=7859346 persons.
Papua New Guinea observed population_year2012=8081390 persons.
Papua New Guinea observed population_year2013=8302698 persons.
Papua New Guinea observed population_year2014=8523441 persons.
Papua New Guinea observed population_year2015=8743246 persons.
Papua New Guinea observed population_year2016=8961718 persons.
Papua New Guinea observed population_year2017=9178714 persons.
Papua New Guinea observed population_year2018=9394513 persons.
Papua New Guinea observed population_year2019=9609010 persons.
Papua New Guinea observed population_year2020=9815746 persons.
Papua New Guinea observed population_year2021=10012896 persons.
Papua New Guinea observed population_year2022=10203169 persons.
Papua New Guinea observed population_year2023=10389635 persons.
