Record: Maldives (MDV), indicator=Total_Population
Maldives observed population_year2000=282019 persons.
Maldives observed population_year2001=286767 persons.
Maldives observed population_year2002=291616 persons.
Maldives observed population_year2003=296491 persons.
Maldives observed population_year2004=301413 persons.
Maldives observed population_year2005=306429 persons.
Maldives observed population_year2006=313851 persons.
Maldives observed population_year2007=324479 persons.
Maldives observed population_year2008=336170 persons.
Maldives observed population_year2009=348275 persons.
Maldives observed population_year2010=360792 persons.
Maldives observed population_year2011=373674 persons.
Maldives observed population_year2012=386818 persons.
Maldives observed population_year2013=400070 persons.
Maldives observed population_year2014=413617 persons.
Maldives observed population_year2015=428154 persons.
Maldives observed population_year2016=443308 persons.
Maldives observed population_year2017=458287 persons.
Maldives observed population_year2018=473099 persons.
Maldives observed population_year2019=487731 persons.
Maldives observed population_year2020=502118 persons.
Maldives observed population_year2021=516154 persons.
Maldives observed population_year2022=524106 persons.
Maldives observed population_year2023=525994 persons.
