Record: Burkina Faso (BFA), indicator=Total_Population
Burkina Faso observed population_year2000=11925546 persons.
Burkina Faso observed population_year2001=12295001 persons.
Burkina Faso observed population_year2002=12680897 persons.
Burkina Faso observed population_year2003=13082532 persons.
Burkina Faso observed population_year2004=13500533 persons.
Burkina Faso observed population_year2005=13932123 persons.
Burkina Faso observed population_year2006=14373707 persons.
Burkina Faso observed population_year2007=14816307 persons.
Burkina Faso observed population_year2008=15258093 persons.
Burkina Faso observed population_year2009=15710066 persons.
Burkina Faso observed population_year2010=16176498 persons.
Burkina Faso observed population_year2011=16661908 persons.
Burkina Faso observed population_year2012=17172287 persons.
Burkina Faso observed population_year2013=17695409 persons.
Burkina Faso observed population_year2014=18229461 persons.
Burkina Faso observed population_year2015=18777487 persons.
Burkina Faso observed population_year2016=19334856 persons.
Burkina Faso observed population_year2017=19894407 persons.
Burkina Faso observed population_year2018=20438288 persons.
Burkina Faso observed population_year2019=20961952 persons.
Burkina Faso observed population_year2020=21478690 persons.
Burkina Faso observed population_year2021=21995243 persons.
Burkina Faso observed population_year2022=22509038 persons.
Burkina Faso observed population_year2023=23025776 persons.
